number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
39,0.2175904889576118,COMPLETE,2025-10-09 04:36:52.459183,2025-10-09 04:37:16.182859,0 days 00:00:23.723676,"[384, 384]","[1, 4]","[True, False]","[0.0, 0.0]",gelu,32,uniform,1,linear,128.0,2,0.002,0.5,L2,2,SGD,attention,False,2e-07,False
40,0.178030303030303,PRUNED,2025-10-09 04:37:16.185906,2025-10-09 04:37:25.209821,0 days 00:00:09.023915,[192],[3],[False],[0.1],silu,16,increasing,1,linear,64.0,7,0.0002,,L2,1,Adam,last,True,5e-07,True
41,0.21875,PRUNED,2025-10-09 04:37:25.210838,2025-10-09 04:39:55.332936,0 days 00:02:30.122098,"[640, 512]","[3, 6]","[False, True]","[0.1, 0.0]",relu,16,decreasing,3,linear,256.0,7,0.0001,,L2,2,AdamW,last,False,1e-07,False
42,0.4491868063687558,COMPLETE,2025-10-09 04:39:55.333955,2025-10-09 04:42:39.547793,0 days 00:02:44.213838,"[640, 512]","[3, 6]","[False, True]","[0.1, 0.0]",relu,16,decreasing,2,linear,256.0,7,0.0001,,L2,2,AdamW,last,False,1e-07,False
43,0.2176165803108808,PRUNED,2025-10-09 04:42:39.549806,2025-10-09 04:44:00.827007,0 days 00:01:21.277201,"[768, 640, 512]","[3, 6, 9]","[False, True, True]","[0.1, 0.0, 0.0]",relu,16,decreasing,2,linear,256.0,7,0.0001,,L2,3,AdamW,last,False,1e-07,False
44,0.2828022349112789,PRUNED,2025-10-09 04:44:00.828512,2025-10-09 04:44:34.413981,0 days 00:00:33.585469,[512],[3],[False],[0.0],relu,16,decreasing,1,linear,,7,0.0001,,L2,1,AdamW,last,False,1e-07,False
45,0.178030303030303,PRUNED,2025-10-09 04:44:34.416003,2025-10-09 04:45:26.531188,0 days 00:00:52.115185,"[768, 640]","[2, 5]","[False, True]","[0.1, 0.0]",mish,64,decreasing,2,linear,256.0,9,0.001,,L2,2,AdamW,max,False,1e-06,False
46,0.178030303030303,PRUNED,2025-10-09 04:45:26.532197,2025-10-09 04:45:41.254442,0 days 00:00:14.722245,[384],[1],[True],[0.0],relu,16,decreasing,3,pow2,64.0,3,0.0001,,minmax,1,RMSprop,last,False,2e-06,False
47,0.21875,PRUNED,2025-10-09 04:45:41.256482,2025-10-09 04:46:32.710056,0 days 00:00:51.453574,"[384, 512, 640]","[2, 3, 4]","[False, True, False]","[0.2, 0.0, 0.2]",hardswish,32,increasing,1,linear,256.0,7,1e-05,,L2,3,Adam,attention,False,1e-07,False
48,0.2175904889576118,COMPLETE,2025-10-09 04:46:32.711062,2025-10-09 04:48:37.589778,0 days 00:02:04.878716,"[768, 768, 768, 768]","[2, 5, 8, 11]","[False, False, True, False]","[0.1, 0.0, 0.0, 0.1]",relu,96,uniform,1,linear,512.0,7,0.0005,,L2,4,AdamW,max,False,1e-05,False
49,0.2175904889576118,COMPLETE,2025-10-09 04:48:37.592811,2025-10-09 04:50:07.349019,0 days 00:01:29.756208,"[512, 640]","[2, 4]","[False, True]","[0.0, 0.0]",gelu,16,increasing,2,linear,256.0,5,0.0001,,L2,2,Adam,mean,True,2e-07,False
