number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
38,0.21759048895761182,COMPLETE,2025-11-05 03:01:07.983720,2025-11-05 03:02:09.213365,0 days 00:01:01.229645,relu,16,768,0.0,1e-05,384,,L2,prenorm,4,2,AdamW,mean,learned,0.0
39,0.08558558558558559,PRUNED,2025-11-05 03:02:09.215367,2025-11-05 03:02:29.107620,0 days 00:00:19.892253,elu,32,256,0.1,0.0005,128,,L2,postnorm,2,4,RMSprop,cls,sinusoidal,1e-06
40,0.08558558558558559,PRUNED,2025-11-05 03:02:29.108620,2025-11-05 03:02:43.224726,0 days 00:00:14.116106,silu,96,512,0.0,5e-05,512,,minmax,prenorm,8,3,Adam,max,learned,1e-05
41,0.21759048895761182,COMPLETE,2025-11-05 03:02:43.225230,2025-11-05 03:03:45.267706,0 days 00:01:02.042476,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
42,0.178030303030303,PRUNED,2025-11-05 03:03:45.269914,2025-11-05 03:04:31.103221,0 days 00:00:45.833307,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
43,0.178030303030303,PRUNED,2025-11-05 03:04:31.104221,2025-11-05 03:05:13.795695,0 days 00:00:42.691474,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
44,0.178030303030303,PRUNED,2025-11-05 03:05:13.796766,2025-11-05 03:05:55.895644,0 days 00:00:42.098878,hardswish,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-07
45,0.21759048895761182,COMPLETE,2025-11-05 03:05:55.896678,2025-11-05 03:06:13.046438,0 days 00:00:17.149760,gelu,128,512,0.1,2e-05,384,,L2,postnorm,2,1,AdamW,mean,learned,1e-06
46,0.178030303030303,PRUNED,2025-11-05 03:06:13.048439,2025-11-05 03:06:22.680985,0 days 00:00:09.632546,mish,64,384,0.1,0.0001,256,,minmax,prenorm,4,2,RMSprop,cls,sinusoidal,1e-06
47,0.21759048895761182,COMPLETE,2025-11-05 03:06:22.681990,2025-11-05 03:07:41.894522,0 days 00:01:19.212532,silu,32,768,0.0,0.0002,512,,L2,postnorm,16,4,AdamW,mean,learned,1e-06
48,0.21759048895761182,COMPLETE,2025-11-05 03:07:41.897025,2025-11-05 03:09:24.931562,0 days 00:01:43.034537,hardswish,16,512,0.1,2e-05,768,,L2,prenorm,2,3,Adam,cls,learned,1e-05
49,0.178030303030303,PRUNED,2025-11-05 03:09:24.934086,2025-11-05 03:09:34.024313,0 days 00:00:09.090227,prelu,128,256,0.30000000000000004,0.001,384,,minmax,prenorm,4,2,RMSprop,max,sinusoidal,1e-07
