number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
20,0.21759048895761182,COMPLETE,2025-11-05 03:21:51.116592,2025-11-05 03:22:42.819771,0 days 00:00:51.703179,prelu,96,256,0.30000000000000004,0.0001,256,,minmax,prenorm,16,4,AdamW,mean,learned,1e-07
21,0.21761658031088082,PRUNED,2025-11-05 03:22:42.821771,2025-11-05 03:22:56.614527,0 days 00:00:13.792756,prelu,32,256,0.1,2e-05,128,,minmax,postnorm,8,1,RMSprop,max,learned,1e-06
22,0.21640488656195464,PRUNED,2025-11-05 03:22:56.615527,2025-11-05 03:23:21.952487,0 days 00:00:25.336960,prelu,32,256,0.4,5e-05,128,,minmax,prenorm,2,1,RMSprop,max,learned,0.0
23,0.17523809523809522,PRUNED,2025-11-05 03:23:21.953487,2025-11-05 03:23:37.667736,0 days 00:00:15.714249,relu,32,256,0.30000000000000004,0.0002,384,,minmax,postnorm,4,2,Adam,max,learned,1e-05
24,0.178030303030303,PRUNED,2025-11-05 03:23:37.668737,2025-11-05 03:23:50.926781,0 days 00:00:13.258044,prelu,32,256,0.1,0.0002,768,,minmax,prenorm,4,1,RMSprop,max,learned,1e-05
25,0.178030303030303,PRUNED,2025-11-05 03:23:50.927854,2025-11-05 03:24:01.565006,0 days 00:00:10.637152,prelu,64,256,0.2,5e-05,128,,minmax,prenorm,2,2,AdamW,max,learned,0.0
26,0.178030303030303,PRUNED,2025-11-05 03:24:01.566511,2025-11-05 03:24:21.030044,0 days 00:00:19.463533,relu,32,256,0.4,2e-05,256,,L2,postnorm,8,3,AdamW,max,sinusoidal,1e-07
27,0.28620896919871336,COMPLETE,2025-11-05 03:24:21.030044,2025-11-05 03:25:06.292803,0 days 00:00:45.262759,prelu,32,768,0.30000000000000004,0.0001,256,,minmax,prenorm,16,1,RMSprop,max,learned,1e-06
28,0.21640488656195464,PRUNED,2025-11-05 03:25:06.294804,2025-11-05 03:25:26.913765,0 days 00:00:20.618961,gelu,64,512,0.4,0.0005,128,,minmax,postnorm,4,2,AdamW,max,learned,1e-05
29,0.103978978978979,PRUNED,2025-11-05 03:25:26.914765,2025-11-05 03:25:43.102595,0 days 00:00:16.187830,leakyrelu,128,768,0.2,1e-05,384,,L2,prenorm,4,1,Adam,mean,learned,1e-06
30,0.21640488656195464,PRUNED,2025-11-05 03:25:43.103601,2025-11-05 03:26:13.982331,0 days 00:00:30.878730,hardswish,16,256,0.0,0.001,512,,minmax,prenorm,2,1,RMSprop,mean,learned,0.0
31,0.26672106638543336,COMPLETE,2025-11-05 03:26:13.983339,2025-11-05 03:26:54.362050,0 days 00:00:40.378711,prelu,32,768,0.30000000000000004,0.0001,256,,minmax,prenorm,16,1,RMSprop,max,learned,1e-06
