number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
35,0.178030303030303,PRUNED,2025-11-05 12:56:39.352393,2025-11-05 12:57:05.439297,0 days 00:00:26.086904,elu,32,768,0.1,1e-05,256,,minmax,postnorm,16,2,RMSprop,cls,learned,1e-06
36,0.178030303030303,PRUNED,2025-11-05 12:57:05.440322,2025-11-05 12:57:19.828861,0 days 00:00:14.388539,silu,64,768,0.1,0.0005,256,,L2,postnorm,16,2,RMSprop,max,learned,1e-06
37,0.31713886153558984,COMPLETE,2025-11-05 12:57:19.829879,2025-11-05 12:58:37.772818,0 days 00:01:17.942939,silu,16,768,0.1,2e-05,128,,minmax,postnorm,16,3,RMSprop,max,learned,1e-06
38,0.21759048895761182,COMPLETE,2025-11-05 12:58:37.774819,2025-11-05 13:00:10.426089,0 days 00:01:32.651270,silu,16,768,0.2,2e-05,128,,L2,postnorm,16,4,AdamW,mean,sinusoidal,1e-06
39,0.21759048895761182,COMPLETE,2025-11-05 13:00:10.428089,2025-11-05 13:01:26.336489,0 days 00:01:15.908400,silu,16,768,0.1,2e-05,128,,minmax,postnorm,2,3,Adam,cls,learned,1e-06
40,0.08558558558558559,PRUNED,2025-11-05 13:01:26.338500,2025-11-05 13:01:58.016296,0 days 00:00:31.677796,silu,16,256,0.2,2e-05,128,,L2,postnorm,16,4,AdamW,max,learned,1e-06
41,0.34507983054935215,COMPLETE,2025-11-05 13:01:58.017302,2025-11-05 13:03:40.104319,0 days 00:01:42.087017,silu,16,768,0.1,2e-05,384,,minmax,postnorm,16,3,RMSprop,max,learned,1e-06
42,0.08558558558558559,PRUNED,2025-11-05 13:03:40.106347,2025-11-05 13:04:37.883348,0 days 00:00:57.777001,silu,16,768,0.1,2e-05,384,,minmax,postnorm,16,3,RMSprop,max,learned,1e-06
43,0.178030303030303,PRUNED,2025-11-05 13:04:37.885349,2025-11-05 13:05:32.746374,0 days 00:00:54.861025,silu,16,768,0.1,2e-05,384,,minmax,postnorm,16,3,RMSprop,max,learned,1e-06
44,0.33126888093347934,COMPLETE,2025-11-05 13:05:32.748376,2025-11-05 13:07:01.287262,0 days 00:01:28.538886,silu,16,768,0.1,2e-05,384,,minmax,postnorm,16,3,RMSprop,max,learned,1e-06
45,0.35370363970794805,COMPLETE,2025-11-05 13:07:01.289263,2025-11-05 13:08:34.290725,0 days 00:01:33.001462,silu,16,768,0.2,2e-05,384,,minmax,postnorm,2,3,RMSprop,max,learned,0.0
46,0.37731082391483944,COMPLETE,2025-11-05 13:08:34.292229,2025-11-05 13:10:12.824680,0 days 00:01:38.532451,silu,16,768,0.2,2e-05,384,,minmax,postnorm,2,3,RMSprop,max,learned,1e-06
47,0.24133298145010432,COMPLETE,2025-11-05 13:10:12.826681,2025-11-05 13:11:33.881695,0 days 00:01:21.055014,silu,16,768,0.30000000000000004,2e-05,384,,minmax,postnorm,2,3,RMSprop,mean,learned,1e-07
48,0.178030303030303,PRUNED,2025-11-05 13:11:33.884712,2025-11-05 13:12:06.633088,0 days 00:00:32.748376,silu,16,768,0.30000000000000004,2e-05,384,,L2,postnorm,2,4,RMSprop,cls,sinusoidal,1e-06
49,0.178030303030303,PRUNED,2025-11-05 13:12:06.634089,2025-11-05 13:12:32.244929,0 days 00:00:25.610840,elu,16,256,0.2,2e-05,384,,minmax,postnorm,2,3,AdamW,max,learned,1e-07
