number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
20,0.21758419036095988,COMPLETE,2025-11-26 10:11:06.350418,2025-11-26 10:11:34.953126,0 days 00:00:28.602708,tanh,128,False,0.3,1024.0,5e-05,,L2,True,4,AdamW,attention,1e-06,"[64, 64, 64, 64]","[1, 2]",[],True
21,0.17777777777777778,PRUNED,2025-11-26 10:11:34.956667,2025-11-26 10:12:03.634324,0 days 00:00:28.677657,elu,64,False,0.2,256.0,0.0001,,minmax,True,3,AdamW,attention,1e-07,"[512, 448, 384]","[1, 2, 3]",[3],False
22,0.43965877032618506,COMPLETE,2025-11-26 10:12:03.635329,2025-11-26 10:12:53.366735,0 days 00:00:49.731406,leakyrelu,64,False,0.0,256.0,0.0002,,L2,True,2,AdamW,attention,1e-07,"[384, 256]","[2, 3]","[1, 2, 3]",False
23,0.17777777777777778,PRUNED,2025-11-26 10:12:53.368771,2025-11-26 10:14:42.667210,0 days 00:01:49.298439,,16,False,0.0,,0.0002,,L2,True,2,AdamW,attention,1e-07,"[64, 128]","[2, 3]","[1, 2, 3]",False
24,0.4361665917172015,COMPLETE,2025-11-26 10:14:42.668212,2025-11-26 10:15:34.511908,0 days 00:00:51.843696,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[640, 640]","[2, 3]","[1, 2, 3]",True
25,0.4528931010715992,COMPLETE,2025-11-26 10:15:34.514908,2025-11-26 10:16:19.269095,0 days 00:00:44.754187,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,attention,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
26,0.45484841268123005,COMPLETE,2025-11-26 10:16:19.271108,2025-11-26 10:16:53.283932,0 days 00:00:34.012824,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
27,0.21637426900584797,PRUNED,2025-11-26 10:16:53.286009,2025-11-26 10:17:00.866853,0 days 00:00:07.580844,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
28,0.4657728547696479,COMPLETE,2025-11-26 10:17:00.867874,2025-11-26 10:17:37.601072,0 days 00:00:36.733198,leakyrelu,96,False,0.0,128.0,0.0002,,L2,True,2,AdamW,max,1e-05,"[256, 192]","[2, 3]","[1, 2, 3]",False
29,0.1761006289308176,PRUNED,2025-11-26 10:17:37.604072,2025-11-26 10:17:43.768279,0 days 00:00:06.164207,leakyrelu,96,True,0.0,128.0,0.001,,L2,True,1,AdamW,max,1e-05,[192],[],[],True
