id,timestamp,target_embedding,source_params,model,seed,channels,dilations,ln_block_end,dropout,num_blocks,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
29,20251203_234646,gaitgl.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,128,0.08239,2.98733,0.29545,0.25754,"[0.38095, 0.125, 0.26667]",0.43182,0.37695,"[0.43243, 0.22222, 0.47619]",150,0.37917,1.52201,281,COMPLETED,54.92
30,20251203_234646,gaitgl_GREW.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.07031,1.69873,0.45455,0.40178,"[0.65, 0.21053, 0.34483]",0.54545,0.52165,"[0.63636, 0.5, 0.42857]",213,0.16167,1.44434,284,COMPLETED,58.047
31,20251203_234646,gaitgl_GREW_BNNeck.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.08377,1.65377,0.45455,0.39312,"[0.5, 0.22222, 0.45714]",0.52273,0.49043,"[0.57778, 0.375, 0.51852]",576,0.28819,1.28484,679,COMPLETED,138.379
32,20251203_234646,gaitgl_OUMVLP.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.0962,2.23812,0.43182,0.33501,"[0.48889, 0.0, 0.51613]",0.5,0.42342,"[0.45714, 0.22222, 0.59091]",717,0.18064,2.22576,746,COMPLETED,153.071
33,20251203_234646,gaitpart_GREW.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.08475,1.52242,0.52273,0.42986,"[0.625, 0.18182, 0.48276]",0.54545,0.50907,"[0.6087, 0.4, 0.51852]",242,0.32644,1.24941,338,COMPLETED,35.023
34,20251203_234646,gaitpart_OUMVLP.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.09236,1.72316,0.54545,0.4078,"[0.7234, 0.0, 0.5]",0.63636,0.60511,"[0.64865, 0.5, 0.66667]",719,0.31102,1.25545,958,COMPLETED,98.739
35,20251203_234646,gaitset.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.08959,1.97512,0.45455,0.33995,"[0.55319, 0.0, 0.46667]",0.47727,0.43288,"[0.56, 0.375, 0.36364]",332,0.13843,1.85733,365,COMPLETED,73.168
36,20251203_234646,gaitset_GREW.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.09666,2.07635,0.36364,0.31633,"[0.42857, 0.13333, 0.3871]",0.52273,0.43175,"[0.66667, 0.42857, 0.2]",334,0.30278,1.68235,403,COMPLETED,80.769
37,20251203_234646,gaitset_OUMVLP.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,1.00438,1.01419,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",120,1.00438,1.01419,120,STOPPED,24.049
38,20251203_234646,gln_phase1.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.09348,1.42149,0.63636,0.58744,"[0.69565, 0.4, 0.66667]",0.65909,0.68315,"[0.63158, 0.76923, 0.64865]",539,0.1917,1.40002,563,COMPLETED,154.048
