id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,dropout,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
31,20251224_202422,OUMVLP_concat.csv,Preset_1,TCN,42,1024,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11332,1.82503,0.5,0.3669,"[0.53659, 0.0, 0.5641]",246,0.32471,1.61898,0.5,0.48468,"[0.48485, 0.38095, 0.58824]",184,COMPLETED,29.979
32,20251224_202422,OUMVLP_mean.csv,Preset_1,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11291,2.08616,0.43182,0.34536,"[0.57895, 0.0, 0.45714]",177,0.19789,2.21068,0.59091,0.42303,"[0.58824, 0.0, 0.68085]",170,COMPLETED,17.989

33,20251224_202422,GREW_concat.csv,Preset_2,TCN,42,768,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,48,Adam,,3e-05,1e-05,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11024,2.13185,0.5,0.41349,"[0.60714, 0.33333, 0.3]",83,0.15431,1.63379,0.56818,0.48096,"[0.61224, 0.25, 0.58065]",75,COMPLETED,19.732
34,20251224_202422,GREW_mean.csv,Preset_2,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,48,Adam,,3e-05,1e-05,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10731,1.85848,0.5,0.362,"[0.54545, 0.0, 0.54054]",88,0.14222,1.82018,0.56818,0.53001,"[0.61224, 0.44444, 0.53333]",76,COMPLETED,19.437
35,20251224_202422,OUMVLP_concat.csv,Preset_2,TCN,42,1024,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,48,Adam,,3e-05,1e-05,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10927,2.67375,0.43182,0.41414,"[0.42424, 0.27273, 0.54545]",233,0.41083,2.34873,0.47727,0.45397,"[0.45714, 0.33333, 0.57143]",167,COMPLETED,57.913
36,20251224_202422,OUMVLP_mean.csv,Preset_2,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,48,Adam,,3e-05,1e-05,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13828,2.31239,0.40909,0.30401,"[0.54167, 0.0, 0.37037]",216,0.42183,2.00886,0.5,0.4939,"[0.3871, 0.5, 0.59459]",199,COMPLETED,48.418

37,20251224_202422,GREW_concat.csv,Preset_3,TCN,42,768,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,32,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10165,2.13851,0.45455,0.28579,"[0.59649, 0.0, 0.26087]",46,0.48911,1.55108,0.5,0.37186,"[0.64286, 0.2, 0.27273]",31,COMPLETED,14.311
38,20251224_202422,GREW_mean.csv,Preset_3,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,32,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1022,2.15042,0.5,0.44103,"[0.61538, 0.4, 0.30769]",50,0.15717,1.98919,0.5,0.45238,"[0.6, 0.4, 0.35714]",38,COMPLETED,14.852
39,20251224_202422,OUMVLP_concat.csv,Preset_3,TCN,42,1024,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,32,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10225,3.10511,0.36364,0.35455,"[0.5, 0.2, 0.36364]",206,0.60553,1.62997,0.52273,0.50716,"[0.54054, 0.38095, 0.6]",177,COMPLETED,66.748
40,20251224_202422,OUMVLP_mean.csv,Preset_3,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,32,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10623,1.91201,0.43182,0.32746,"[0.55814, 0.0, 0.42424]",121,0.41506,1.56354,0.54545,0.50111,"[0.69767, 0.42105, 0.38462]",103,COMPLETED,36.455

41,20251224_202422,GREW_concat.csv,Preset_4,TCN,42,768,"[640, 448]","[3, 6]",3,2,hardswish,True,True,False,mean,384,32,AdamW,,0.0001,0.0,minmax,"[0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11774,1.75757,0.47727,0.36735,"[0.53061, 0.0, 0.57143]",118,0.2603,2.93119,0.43182,0.39878,"[0.51064, 0.4, 0.28571]",92,COMPLETED,18.963
42,20251224_202422,GREW_mean.csv,Preset_4,TCN,42,256,"[640, 448]","[3, 6]",3,2,hardswish,True,True,False,mean,384,32,AdamW,,0.0001,0.0,minmax,"[0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11868,1.45576,0.56818,0.54948,"[0.63415, 0.5, 0.51429]",100,0.12241,1.46813,0.56818,0.5596,"[0.61905, 0.54545, 0.51429]",99,COMPLETED,14.838
43,20251224_202422,OUMVLP_concat.csv,Preset_4,TCN,42,1024,"[640, 448]","[3, 6]",3,2,hardswish,True,True,False,mean,384,32,AdamW,,0.0001,0.0,minmax,"[0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1093,3.04891,0.38636,0.35255,"[0.34483, 0.2, 0.51282]",375,0.4952,2.4639,0.5,0.50198,"[0.41379, 0.55556, 0.53659]",202,COMPLETED,61.442
44,20251224_202422,OUMVLP_mean.csv,Preset_4,TCN,42,256,"[640, 448]","[3, 6]",3,2,hardswish,True,True,False,mean,384,32,AdamW,,0.0001,0.0,minmax,"[0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13386,2.47293,0.40909,0.39122,"[0.41176, 0.33333, 0.42857]",267,0.20704,2.50561,0.56818,0.50435,"[0.66667, 0.36364, 0.48276]",201,COMPLETED,38.154

