id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
42,20251219_172111,gaitgl_64steps_mean.csv,Preset_9,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",48,Adam,,3e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14983,1.77887,0.54545,0.46988,"[0.64151, 0.33333, 0.43478]",138,0.2099,1.89059,0.56818,0.48836,"[0.66667, 0.36364, 0.43478]",133,COMPLETED,61.951
43,20251219_172111,gaitpart_16steps_mean.csv,Preset_9,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",48,Adam,,3e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13622,2.09988,0.52273,0.44333,"[0.63415, 0.13333, 0.5625]",299,0.54488,1.33936,0.56818,0.53857,"[0.63158, 0.42857, 0.55556]",200,COMPLETED,83.548
44,20251219_172111,gaitset_62steps_mean.csv,Preset_9,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",48,Adam,,3e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14064,2.55146,0.38636,0.28837,"[0.46512, 0.0, 0.4]",356,0.40749,2.18686,0.5,0.4458,"[0.60465, 0.25, 0.48276]",286,COMPLETED,158.229
45,20251219_172111,gln_93steps_mean.csv,Preset_9,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",48,Adam,,3e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13007,1.62721,0.5,0.43397,"[0.5641, 0.25, 0.4878]",199,0.38657,1.69633,0.59091,0.57083,"[0.65, 0.5, 0.5625]",148,COMPLETED,110.51

46,20251219_172111,baseline_31steps_mean.csv,Preset_10,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,L2,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11136,1.67907,0.5,0.36371,"[0.48649, 0.0, 0.60465]",91,0.67538,1.11716,0.63636,0.53251,"[0.68085, 0.25, 0.66667]",73,COMPLETED,38.99
47,20251219_172111,gaitgl_64steps_mean.csv,Preset_10,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,L2,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10716,2.31134,0.47727,0.29781,"[0.62069, 0.0, 0.27273]",54,0.40425,1.59387,0.56818,0.45434,"[0.67925, 0.22222, 0.46154]",44,COMPLETED,28.737
48,20251219_172111,gaitpart_16steps_mean.csv,Preset_10,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,L2,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12199,2.24051,0.43182,0.39271,"[0.55814, 0.3, 0.32]",144,0.19146,1.52438,0.59091,0.43844,"[0.64865, 0.0, 0.66667]",137,COMPLETED,55.117
49,20251219_172111,gaitset_62steps_mean.csv,Preset_10,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,L2,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12749,2.40929,0.40909,0.3,"[0.5, 0.0, 0.4]",178,0.58197,1.95707,0.47727,0.36831,"[0.55319, 0.0, 0.55172]",119,COMPLETED,92.746
50,20251219_172111,gln_93steps_mean.csv,Preset_10,TCN,42,256,"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,False,attention,512,L2,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11463,2.29126,0.38636,0.28877,"[0.41176, 0.0, 0.45455]",90,0.15171,1.91618,0.54545,0.44311,"[0.68085, 0.18182, 0.46667]",83,COMPLETED,57.083
