id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
112,20251206_102244,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14157,1.56319,0.54545,0.45501,"[0.73171, 0.13333, 0.5]",0.65909,0.54946,"[0.73171, 0.25, 0.66667]",201.0,0.16361,1.19286,423.0,STOPPED,126.19393
113,20251206_102445,gaitset.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14314,1.87886,0.38636,0.27778,"[0.5, 0.0, 0.33333]",0.45455,0.38704,"[0.55, 0.16667, 0.44444]",37.0,0.57481,1.43544,385.0,STOPPED,119.62743
114,20251206_102659,gaitset_GREW.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14237,1.75997,0.5,0.42239,"[0.58537, 0.18182, 0.5]",0.59091,0.57666,"[0.63415, 0.53333, 0.5625]",103.0,0.17527,1.29629,430.0,STOPPED,132.76607
115,20251206_103001,gaitset_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14385,1.31115,0.63636,0.55874,"[0.72, 0.36364, 0.59259]",0.65909,0.58205,"[0.73077, 0.4, 0.61538]",372.0,0.14581,1.15306,586.0,STOPPED,180.44766
116,20251206_103235,gln_phase1.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14259,1.96364,0.40909,0.3809,"[0.5641, 0.23077, 0.34783]",0.54545,0.50504,"[0.625, 0.42857, 0.46154]",53.0,0.54093,1.34082,480.0,STOPPED,152.41055
117,20251206_103430,gln_phase2.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14631,1.95846,0.38636,0.38544,"[0.46667, 0.13793, 0.55172]",0.59091,0.51084,"[0.70833, 0.28571, 0.53846]",184.0,0.16104,1.20134,355.0,STOPPED,113.44203

118,20251206_182055,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14448,1.14749,0.56818,0.49055,"[0.69388, 0.33333, 0.44444]",0.63636,0.57355,"[0.69565, 0.4, 0.625]",486.0,0.1449,1.15122,628.0,STOPPED,170.863
119,20251206_182341,baseline_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14621,1.35782,0.43182,0.37007,"[0.37838, 0.18182, 0.55]",0.54545,0.49767,"[0.57143, 0.33333, 0.58824]",106.0,0.37105,1.24744,617.0,STOPPED,165.379
120,20251206_182502,gaitgl.csv,Best_configs_v3,TCN,42,128,4,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[None, 0.1, 0.1, None]","[True, False, False, False]",max,256.0,16,RMSprop,0.0,1e-05,5e-07,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14608,1.24808,0.38636,0.26189,"[0.5098, 0.0, 0.27586]",0.40909,0.37917,"[0.45, 0.25, 0.4375]",35.0,0.55962,1.10728,305.0,STOPPED,80.608
