id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
305,gaitgl_OUMVLP.csv,0.46667,0.4821,0.01543,0.550 / 0.250 / 0.600,0.630 / 0.400 / 0.417,0.080 / 0.150 / -0.183
306,gaitpart_GREW.csv,0.52979,0.48747,-0.04232,0.683 / 0.222 / 0.684,0.605 / 0.375 / 0.483,-0.078 / 0.153 / -0.201
307,gaitpart_OUMVLP.csv,0.61885,0.56667,-0.05218,0.821 / 0.333 / 0.703,0.500 / 0.500 / 0.700,-0.321 / 0.167 / -0.003
308,gaitset.csv,0.5192,0.38864,-0.13056,0.642 / 0.462 / 0.455,0.627 / 0.000 / 0.538,-0.014 / -0.462 / 0.084
309,gaitset_GREW.csv,0.49269,0.40567,-0.08702,0.564 / 0.333 / 0.581,0.636 / 0.000 / 0.581,0.072 / -0.333 / 0.000
310,gaitset_OUMVLP.csv,0.56663,0.46173,-0.1049,0.717 / 0.444 / 0.538,0.667 / 0.200 / 0.519,-0.050 / -0.244 / -0.020
311,gln_phase1.csv,0.47567,0.61573,0.14006,0.735 / 0.154 / 0.538,0.750 / 0.545 / 0.552,0.015 / 0.392 / 0.013
312,gln_phase2.csv,0.40827,0.5303,0.12203,0.558 / 0.222 / 0.444,0.682 / 0.364 / 0.545,0.124 / 0.141 / 0.101
313,baseline_CASIAB.csv,0.50504,0.46111,-0.04393,0.625 / 0.429 / 0.462,0.600 / 0.250 / 0.533,-0.025 / -0.179 / 0.072
314,baseline_OUMVLP.csv,0.45899,0.52632,0.06733,0.524 / 0.308 / 0.545,0.579 / 0.400 / 0.600,0.055 / 0.092 / 0.055
315,gaitgl.csv,0.33856,0.47196,0.1334,0.549 / 0.000 / 0.467,0.571 / 0.444 / 0.400,0.022 / 0.444 / -0.067
316,gaitgl_GREW.csv,0.33433,0.4275,0.09317,0.655 / 0.000 / 0.348,0.731 / 0.000 / 0.552,0.076 / 0.000 / 0.204
317,gaitgl_GREW_BNNeck.csv,0.47222,0.53743,0.06521,0.583 / 0.333 / 0.500,0.600 / 0.364 / 0.649,0.017 / 0.030 / 0.149
318,gaitgl_OUMVLP.csv,0.4133,0.48077,0.06747,0.545 / 0.250 / 0.444,0.692 / 0.250 / 0.500,0.147 / 0.000 / 0.056
319,gaitpart_GREW.csv,0.48576,0.50452,0.01876,0.727 / 0.250 / 0.480,0.706 / 0.308 / 0.500,-0.021 / 0.058 / 0.020
320,gaitpart_OUMVLP.csv,0.60511,0.55383,-0.05128,0.667 / 0.500 / 0.649,0.681 / 0.400 / 0.581,0.014 / -0.100 / -0.068
321,gaitset.csv,0.38336,0.44524,0.06188,0.604 / 0.250 / 0.296,0.650 / 0.400 / 0.286,0.046 / 0.150 / -0.011
322,gaitset_GREW.csv,0.37123,0.60712,0.23589,0.556 / 0.000 / 0.558,0.739 / 0.462 / 0.621,0.184 / 0.462 / 0.063
323,gaitset_OUMVLP.csv,0.52846,0.56322,0.03476,0.638 / 0.429 / 0.519,0.652 / 0.600 / 0.438,0.014 / 0.171 / -0.081
