id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
215,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,1.01753,0.47727,127,0.21538,0.21538,127,,STOPPED,24.89
216,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,1.01109,0.47727,147,0.21538,0.21538,147,,STOPPED,28.768
217,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.03993,0.34091,100,0.26349,0.37222,90,0.13384,COMPLETED,54.532
218,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.01785,0.38636,194,0.30386,0.35983,175,0.31746,COMPLETED,118.531
219,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,1.00746,0.47727,104,0.21538,0.21538,104,,STOPPED,63.569
220,20251011_211257,gln_phase1.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.04422,0.61364,105,0.55383,0.63665,97,0.11582,COMPLETED,85.949
221,20251011_211257,gln_phase2.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.02173,0.47727,88,0.35728,0.42531,81,0.18494,COMPLETED,71.707

222,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00987,0.47727,130,0.21538,0.21538,130,,STOPPED,108.69
223,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00568,0.47727,181,0.21538,0.21538,181,,STOPPED,151.321
224,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00584,0.47727,187,0.21538,0.21538,187,,STOPPED,241.694
225,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00605,0.47727,143,0.21538,0.21538,143,,STOPPED,186.059
226,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.0074,0.47727,197,0.21538,0.21538,197,,STOPPED,256.493
227,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.0078,0.47727,213,0.21538,0.21538,213,,STOPPED,277.302
228,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00722,0.47727,174,0.21538,0.21538,174,,STOPPED,87.822
229,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00878,0.47727,142,0.21538,0.21538,142,,STOPPED,71.671
230,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00787,0.47727,143,0.21538,0.21538,143,,STOPPED,184.323
231,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00913,0.47727,113,0.21538,0.21538,113,,STOPPED,145.587
232,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.00605,0.47727,112,0.21538,0.21538,112,,STOPPED,144.471
233,20251011_211257,gln_phase1.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.0145,0.47727,158,0.21538,0.21538,158,,STOPPED,289.491
234,20251011_211257,gln_phase2.csv,Personalizado_v2,TCN,42,256,4,"[384, 512, 640, 768]","[1, 2, 4, 8]",11,2,silu,True,True,"[0.2, 0.2, 0.2, 0.2]","[True, True, True, True]",mean,256,96,AdamW,,0.0002,5e-05,minmax,1.0072,0.47727,222,0.21538,0.21538,222,,STOPPED,406.869

235,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.01929,0.43182,48,0.31869,0.36649,38,0.18207,COMPLETED,21.59
236,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.01981,0.59091,79,0.49335,0.51932,72,0.21512,COMPLETED,35.387
237,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.0129,0.5,25,0.4286,0.4286,25,0.0129,COMPLETED,18.519
238,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.02166,0.43182,25,0.36235,0.45455,21,0.09614,COMPLETED,18.629
239,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.02982,0.40909,40,0.25309,0.3042,34,0.09417,COMPLETED,29.737
240,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.03185,0.5,51,0.37945,0.38337,49,0.05295,COMPLETED,38.0
241,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.04153,0.38636,142,0.2721,0.40803,120,0.14062,COMPLETED,41.754
242,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,6,"[192, 256, 320, 384, 448, 512]","[1, 2, 4, 6, 9, 12]",5,3,gelu,True,True,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",attention,256,96,AdamW,,0.0001,1e-05,L2,0.07594,0.5,361,0.37354,0.59064,308,0.28251,COMPLETED,105.807
