id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,time_sec
35,20251009_125024,gaitset.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04614,0.45455,445,0.38546,0.45971,229,0.30505,COMPLETED,169.136
36,20251009_125024,gaitset_GREW.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04285,0.43182,511,0.36558,0.44309,359,0.20436,COMPLETED,194.225
37,20251009_125024,gaitset_OUMVLP.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.43066,0.56818,932,0.39697,0.60812,872,0.34707,STOPPED,352.54
38,20251009_125024,gln_phase1.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,1.01066,0.47727,73,0.21538,0.21538,73,,STOPPED,40.622
39,20251009_125024,gln_phase2.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04044,0.43182,600,0.39181,0.51194,457,0.15118,COMPLETED,327.517

40,20251009_132752,baseline_CASIAB.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.04817,0.45455,92,0.37073,0.57576,48,0.29679,COMPLETED,10.683
41,20251009_132752,baseline_OUMVLP.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00849,0.47727,123,0.41211,0.46542,109,0.09944,COMPLETED,14.121
42,20251009_132752,gaitgl.csv,gaitgl_GREW.csv,TCN,42,128,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00869,0.36364,50,0.30354,0.43932,20,0.3225,COMPLETED,6.268
43,20251009_132752,gaitgl_GREW.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00251,0.54545,24,0.46053,0.49551,19,0.17723,COMPLETED,3.228
44,20251009_132752,gaitgl_GREW_BNNeck.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.02015,0.52273,83,0.5,0.54791,79,0.04111,COMPLETED,11.269
45,20251009_132752,gaitgl_OUMVLP.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00549,0.36364,98,0.28095,0.36111,89,0.124,COMPLETED,13.34
46,20251009_132752,gaitpart_GREW.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.01611,0.38636,84,0.33022,0.45967,59,0.05339,COMPLETED,9.225
47,20251009_132752,gaitpart_OUMVLP.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.0389,0.47727,211,0.40269,0.54497,147,0.13334,COMPLETED,22.919
48,20251009_132752,gaitset.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00536,0.43182,113,0.32679,0.45023,75,0.09484,COMPLETED,15.307
49,20251009_132752,gaitset_GREW.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.0023,0.43182,73,0.36382,0.45323,47,0.15898,COMPLETED,10.067
50,20251009_132752,gaitset_OUMVLP.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.0335,0.47727,224,0.33679,0.5121,147,0.25091,COMPLETED,30.114
51,20251009_132752,gln_phase1.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.01827,0.52273,74,0.49528,0.55004,59,0.04804,COMPLETED,11.26
52,20251009_132752,gln_phase2.csv,gaitgl_GREW.csv,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128,16,AdamW,,0.001,1e-06,L2,0.00825,0.38636,81,0.30057,0.50301,59,0.11954,COMPLETED,12.483

53,20251009_133056,baseline_CASIAB.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04512,0.56818,139,0.52536,0.5626,134,0.05045,COMPLETED,9.998
54,20251009_133056,baseline_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03648,0.56818,183,0.46667,0.53307,151,0.09386,COMPLETED,13.333
55,20251009_133056,gaitgl.csv,gaitgl_GREW_BNNeck.csv,TCN,42,128,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03921,0.43182,87,0.31111,0.39259,41,0.22835,COMPLETED,6.406
56,20251009_133056,gaitgl_GREW.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03974,0.45455,68,0.31576,0.42088,57,0.06797,COMPLETED,5.789
57,20251009_133056,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04712,0.5,135,0.4094,0.45445,117,0.07499,COMPLETED,11.265
58,20251009_133056,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.0333,0.5,191,0.36606,0.52849,133,0.20562,COMPLETED,16.026
59,20251009_133056,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04704,0.54545,166,0.48991,0.52692,148,0.08501,COMPLETED,10.969
60,20251009_133056,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04111,0.52273,359,0.46728,0.56638,342,0.0617,COMPLETED,23.804
61,20251009_133056,gaitset.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04156,0.5,126,0.33939,0.37818,74,0.19904,COMPLETED,10.631
62,20251009_133056,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.0431,0.61364,165,0.44141,0.44141,165,0.0431,COMPLETED,13.793
63,20251009_133056,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04276,0.52273,461,0.47227,0.54291,391,0.11219,COMPLETED,38.213
64,20251009_133056,gln_phase1.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04484,0.54545,145,0.38435,0.50998,107,0.09827,COMPLETED,14.236
65,20251009_133056,gln_phase2.csv,gaitgl_GREW_BNNeck.csv,TCN,42,256,2,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.04489,0.54545,136,0.44017,0.59144,129,0.05881,COMPLETED,13.222

66,20251009_133418,baseline_CASIAB.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03333,0.31818,231,0.23757,0.45812,129,0.27144,COMPLETED,28.932
67,20251009_133418,baseline_OUMVLP.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.04004,0.38636,212,0.30631,0.39213,119,0.26845,COMPLETED,26.692
68,20251009_133418,gaitgl.csv,gaitgl_OUMVLP.csv,TCN,42,128,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03156,0.43182,70,0.32276,0.38329,46,0.13699,COMPLETED,13.583
69,20251009_133418,gaitgl_GREW.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.01883,0.45455,31,0.33424,0.47078,24,0.07285,COMPLETED,6.331
70,20251009_133418,gaitgl_GREW_BNNeck.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.04155,0.45455,189,0.38942,0.46412,140,0.16209,COMPLETED,38.454
71,20251009_133418,gaitgl_OUMVLP.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.0406,0.47727,165,0.39387,0.44257,141,0.06201,COMPLETED,35.321
72,20251009_133418,gaitpart_GREW.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03654,0.54545,167,0.49221,0.56824,163,0.03969,COMPLETED,19.856
73,20251009_133418,gaitpart_OUMVLP.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.04678,0.5,371,0.44795,0.49908,319,0.16796,COMPLETED,44.188
74,20251009_133418,gaitset.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03628,0.38636,171,0.36142,0.40495,130,0.12714,COMPLETED,43.339
75,20251009_133418,gaitset_GREW.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.03568,0.45455,124,0.3598,0.40613,83,0.1875,COMPLETED,31.418
76,20251009_133418,gaitset_OUMVLP.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.04678,0.56818,439,0.49333,0.59058,237,0.3071,COMPLETED,111.926
77,20251009_133418,gln_phase1.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.04198,0.38636,303,0.34665,0.46595,121,0.32065,COMPLETED,109.317
78,20251009_133418,gln_phase2.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],7,2,mish,True,False,[None],[False],last,,32,AdamW,,0.0002,2e-06,L2,0.035,0.5,176,0.4615,0.52462,116,0.1565,COMPLETED,63.466

79,20251009_134405,baseline_CASIAB.csv,gaitpart_GREW.csv,TCN,42,256,3,"[96, 96, 96]","[1, 4, 7]",9,1,gelu,True,False,"[0.1, 0.1, 0.1]","[True, True, False]",last,,96,AdamW,,0.0002,2e-06,L2,0.03411,0.5,140,0.41919,0.47487,116,0.10872,COMPLETED,7.034
