id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
1548,20251206_073947,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14060257129447976,1.9932479858398438,0.4090909090909091,0.3111111111111111,"[0.47619047619047616, 0.0, 0.45714285714285713]",0.4772727272727273,0.40623306233062334,"[0.5853658536585366, 0.13333333333333333, 0.5]",50,0.6448377297096646,1.2122095823287964,466,STOPPED,92.889588799997
1549,20251206_074131,baseline_OUMVLP.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1398669508929105,1.6367202997207642,0.4772727272727273,0.4166666666666667,"[0.5, 0.25, 0.5]",0.5454545454545454,0.5204425204425204,"[0.5454545454545454, 0.4444444444444444, 0.5714285714285714]",188,0.14763159896295094,1.5717263221740723,521,STOPPED,103.36216369998874
1550,20251206_074329,gaitgl.csv,Best_configs_v3,TCN,42,128,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14015014147021107,1.6833745241165161,0.45454545454545453,0.3858585858585859,"[0.5333333333333333, 0.2, 0.42424242424242425]",0.5454545454545454,0.5,"[0.5909090909090909, 0.36363636363636365, 0.5454545454545454]",39,0.4700257864195047,1.121507167816162,501,STOPPED,117.22009380000236
1551,20251206_074511,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14093505552749044,1.6776549816131592,0.45454545454545453,0.3760454002389486,"[0.5833333333333334, 0.2222222222222222, 0.3225806451612903]",0.45454545454545453,0.4483204134366925,"[0.5116279069767442, 0.4444444444444444, 0.3888888888888889]",41,0.4404184615489134,1.2294894456863403,409,STOPPED,100.61554250000336
1552,20251206_074702,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14030127642080956,1.4779236316680908,0.5227272727272727,0.3903985507246377,"[0.6086956521739131, 0.0, 0.5625]",0.5454545454545454,0.4976657329598506,"[0.5714285714285714, 0.3333333333333333, 0.5882352941176471]",68,0.2446311930405725,1.4062201976776123,450,STOPPED,110.1074937999947
1553,20251206_074919,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14004387959991535,1.703294277191162,0.45454545454545453,0.32566069906223355,"[0.5652173913043478, 0.0, 0.4117647058823529]",0.4772727272727273,0.4299027137736815,"[0.5714285714285714, 0.26666666666666666, 0.45161290322580644]",230,0.14495007079286673,1.7595759630203247,553,STOPPED,135.4955207000021
1554,20251206_075127,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14017230057224786,1.5533100366592407,0.5454545454545454,0.4605263157894737,"[0.55, 0.2, 0.631578947368421]",0.6136363636363636,0.6080186205087857,"[0.5161290322580645, 0.625, 0.6829268292682927]",102,0.38335142922155635,1.0683802366256714,666,STOPPED,127.35226309999416
1555,20251206_075420,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13971545339859637,2.1041982173919678,0.4318181818181818,0.3175925925925926,"[0.5777777777777777, 0.0, 0.375]",0.5,0.4405765371282613,"[0.6222222222222222, 0.2857142857142857, 0.41379310344827586]",424,0.14769745149563268,1.8649001121520996,899,STOPPED,173.0228145000001
1556,20251206_075559,gaitset.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14027731965497597,1.879045009613037,0.4772727272727273,0.4009057971014493,"[0.5652173913043478, 0.2, 0.4375]",0.5227272727272727,0.43371126228269086,"[0.6122448979591837, 0.2222222222222222, 0.4666666666666667]",172,0.1412841898878825,1.89142644405365,400,STOPPED,97.28879529998812
1557,20251206_075802,gaitset_GREW.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14040680291111937,1.5668396949768066,0.5227272727272727,0.44162270478059956,"[0.5641025641025641, 0.18181818181818182, 0.5789473684210527]",0.5454545454545454,0.459986816084377,"[0.5853658536585366, 0.2, 0.5945945945945946]",452,0.1400284220262901,1.534712314605713,502,STOPPED,121.76815039999201
1558,20251206_080137,gaitset_OUMVLP.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14090404728638758,1.765507459640503,0.5227272727272727,0.38888888888888884,"[0.6666666666666666, 0.0, 0.5]",0.5454545454545454,0.48021181716833894,"[0.6521739130434783, 0.25, 0.5384615384615384]",666,0.14017032593795933,1.6346033811569214,885,STOPPED,214.21213159999752
1559,20251206_080341,gln_phase1.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14016376696911054,1.489078164100647,0.5681818181818182,0.5135387488328664,"[0.6190476190476191, 0.3333333333333333, 0.5882352941176471]",0.6363636363636364,0.5694565352568088,"[0.6976744186046512, 0.36363636363636365, 0.6470588235294118]",298,0.14019185919122598,1.410973310470581,397,STOPPED,122.32711050000216
1560,20251206_080628,gln_phase2.csv,Best_configs_v3,TCN,42,256,5,"[192, 256, 320, 384, 448]","[1, 2, 3, 4, 5]",3,3,silu,True,True,"[0.2, 0.2, 0.2, 0.2, 0.2]","[True, True, True, True, True]",attention,256,56,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14038486794098137,1.7947509288787842,0.45454545454545453,0.4344997967288989,"[0.5263157894736842, 0.35294117647058826, 0.42424242424242425]",0.5454545454545454,0.5472143033118643,"[0.5853658536585366, 0.5714285714285714, 0.48484848484848486]",245,0.1417082901467982,1.5724884271621704,538,STOPPED,165.05324900000414
