id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
48,20251012_183155,gaitset.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14553,0.45455,518,0.32778,0.543,279,0.18253,STOPPED,94.962
49,20251012_183155,gaitset_GREW.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1421,0.43182,257,0.36919,0.42672,168,0.29648,STOPPED,46.788
50,20251012_183155,gaitset_OUMVLP.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15098,0.52273,469,0.42924,0.54725,346,0.23358,STOPPED,86.349
51,20251012_183155,gln_phase1.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1538,0.5,289,0.3602,0.62735,35,0.34859,STOPPED,58.688
52,20251012_183155,gln_phase2.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.19786,0.45455,348,0.4088,0.56053,52,0.23413,STOPPED,70.661

53,20251012_183155,baseline_CASIAB.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14448,0.5,762,0.36957,0.50998,232,0.14986,STOPPED,74.047
54,20251012_183155,baseline_OUMVLP.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1446,0.5,958,0.41987,0.50311,252,0.15484,STOPPED,93.153
55,20251012_183155,gaitgl.csv,Best_configs,TCN,42,128,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14535,0.45455,573,0.34102,0.50152,374,0.14665,STOPPED,58.523
56,20251012_183155,gaitgl_GREW.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14489,0.54545,496,0.46016,0.47609,449,0.14488,STOPPED,55.348
57,20251012_183155,gaitgl_GREW_BNNeck.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14569,0.5,650,0.40687,0.55781,544,0.14616,STOPPED,72.702
58,20251012_183155,gaitgl_OUMVLP.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14357,0.61364,917,0.543,0.59305,621,0.14575,STOPPED,96.558
59,20251012_183155,gaitpart_GREW.csv,Best_configs,TCN,42,256,"[192, 192]","[1, 2]",7,1,mish,False,True,"[0.3, 0.3]","[False, True]",max,,32,AdamW,,0.0001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14299,0.54545,1021,0.46598,0.57204,125,0.21694,STOPPED,82.871
