number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
27,0.2175904889576118,COMPLETE,2025-10-09 01:59:58.909732,2025-10-09 02:01:23.322129,0 days 00:01:24.412397,"[896, 768, 640]","[2, 5, 8]",[],"[0, 1]",0.1,gelu,16,decreasing,3,linear,,3,1e-05,,L2,3,AdamW,max,False,2e-06,True
28,0.1398992432794013,PRUNED,2025-10-09 02:01:23.322129,2025-10-09 02:01:32.779603,0 days 00:00:09.457474,"[512, 640]","[2, 4]",[1],[],0.0,gelu,16,increasing,1,linear,,3,0.0002,,L2,2,Adam,max,False,0.0,True
29,0.4113454976578009,COMPLETE,2025-10-09 02:01:32.780604,2025-10-09 02:02:35.109868,0 days 00:01:02.329264,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
30,0.2224089635854342,PRUNED,2025-10-09 02:02:35.113041,2025-10-09 02:02:57.126930,0 days 00:00:22.013889,"[384, 512, 640]","[3, 4, 5]",[],[0],0.2,gelu,16,increasing,3,linear,64.0,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
31,0.414927659140787,COMPLETE,2025-10-09 02:02:57.126930,2025-10-09 02:03:49.219657,0 days 00:00:52.092727,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
32,0.4342815320683411,COMPLETE,2025-10-09 02:03:49.220662,2025-10-09 02:05:02.516372,0 days 00:01:13.295710,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
33,0.4125127957485612,COMPLETE,2025-10-09 02:05:02.519106,2025-10-09 02:06:55.326396,0 days 00:01:52.807290,"[256, 384, 512, 640]","[3, 5, 7, 9]",[3],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,4,RMSprop,max,False,0.0,True
34,0.4203062291872542,COMPLETE,2025-10-09 02:06:55.329670,2025-10-09 02:08:16.698828,0 days 00:01:21.369158,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
35,0.3317238885023555,COMPLETE,2025-10-09 02:08:16.700977,2025-10-09 02:09:07.843918,0 days 00:00:51.142941,"[384, 512]","[3, 6]",[],[0],0.2,gelu,16,increasing,3,linear,64.0,3,0.0002,,L2,2,RMSprop,attention,False,0.0,True
36,0.178030303030303,PRUNED,2025-10-09 02:09:07.845926,2025-10-09 02:09:22.606016,0 days 00:00:14.760090,"[96, 128, 192, 256]","[3, 5, 7, 9]",[3],[0],0.1,leakyrelu,16,increasing,3,linear,,9,0.0002,,L2,4,RMSprop,max,False,0.0,True
37,0.3364807866634189,COMPLETE,2025-10-09 02:09:22.608019,2025-10-09 02:10:18.285111,0 days 00:00:55.677092,"[256, 384, 512]","[3, 4, 5]",[],"[0, 1]",0.2,hardswish,16,increasing,3,linear,,2,0.0001,,L2,3,AdamW,max,False,1e-06,True
38,0.178030303030303,PRUNED,2025-10-09 02:10:18.292481,2025-10-09 02:10:24.501692,0 days 00:00:06.209211,"[512, 640]","[3, 5]",[],[0],0.3,gelu,96,increasing,1,linear,512.0,7,0.0002,,L2,2,RMSprop,max,False,1e-05,True
39,0.3791888389567192,COMPLETE,2025-10-09 02:10:24.501692,2025-10-09 02:11:33.018978,0 days 00:01:08.517286,"[384, 256, 192]","[3, 4, 5]",[],[],0.0,gelu,16,decreasing,3,linear,64.0,3,0.0002,,L2,3,AdamW,attention,False,2e-07,True
40,0.178030303030303,PRUNED,2025-10-09 02:11:33.020987,2025-10-09 02:11:38.276622,0 days 00:00:05.255635,[640],[3],[],[0],0.1,mish,128,increasing,2,linear,,3,0.0001,,L2,1,RMSprop,max,False,1e-07,True
41,0.2164048865619546,PRUNED,2025-10-09 02:11:38.277625,2025-10-09 02:12:12.221320,0 days 00:00:33.943695,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
42,0.21875,PRUNED,2025-10-09 02:12:12.223320,2025-10-09 02:12:31.984275,0 days 00:00:19.760955,"[384, 512, 640]","[3, 5, 7]",[],[0],0.1,gelu,16,increasing,3,linear,,3,0.0002,,L2,3,RMSprop,max,False,0.0,True
43,0.4163890831230393,COMPLETE,2025-10-09 02:12:31.984275,2025-10-09 02:13:31.587542,0 days 00:00:59.603267,"[512, 640]","[3, 5]",[],[0],0.2,gelu,16,increasing,3,linear,,3,0.0002,,L2,2,RMSprop,max,False,0.0,True
44,0.0970144011239901,PRUNED,2025-10-09 02:13:31.590905,2025-10-09 02:13:53.435465,0 days 00:00:21.844560,"[512, 640]","[3, 5]",[],[0],0.2,leakyrelu,16,increasing,3,linear,256.0,7,0.0002,,L2,2,RMSprop,max,False,0.0,True
45,0.178030303030303,PRUNED,2025-10-09 02:13:53.436465,2025-10-09 02:14:07.499797,0 days 00:00:14.063332,"[640, 768]","[3, 5]",[0],[0],0.3,hardswish,96,increasing,3,linear,,3,0.0002,,L2,2,Adam,max,False,2e-07,True
46,0.21875,PRUNED,2025-10-09 02:14:07.500799,2025-10-09 02:14:21.148340,0 days 00:00:13.647541,[512],[1],[],[],0.0,gelu,16,increasing,3,pow2,,9,1e-05,,L2,1,RMSprop,attention,False,0.0,True
47,0.4110705027371694,COMPLETE,2025-10-09 02:14:21.149341,2025-10-09 02:14:59.747860,0 days 00:00:38.598519,"[768, 640]","[3, 5]",[],[0],0.2,mish,16,decreasing,1,linear,,2,0.0002,,L2,2,AdamW,max,False,2e-06,True
48,0.21875,PRUNED,2025-10-09 02:14:59.748167,2025-10-09 02:15:09.118344,0 days 00:00:09.370177,"[256, 384]","[1, 2]",[0],[0],0.2,silu,16,increasing,2,pow2,512.0,3,0.002,,L2,2,RMSprop,max,False,0.0,True
49,0.178030303030303,PRUNED,2025-10-09 02:15:09.119362,2025-10-09 02:16:20.747515,0 days 00:01:11.628153,"[512, 512, 512, 512]","[2, 4, 6, 8]",[3],[],0.0,relu,16,uniform,3,linear,,9,0.0001,,L2,4,RMSprop,max,False,1e-05,True
