id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
63,20251224_220532,OUMVLP_concat.csv,Preset_16,Transformer,42,"[512, 512, 512]",8,3,768,0.2,silu,prenorm,learned,cls,True,0.0002,0.0,32,AdamW,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10998,1.09746,0.47727,0.21538,"[0.64615, 0.0, 0.0]",174,1.10998,1.09746,0.47727,0.21538,"[0.64615, 0.0, 0.0]",174,STOPPED,49.753
64,20251224_220532,OUMVLP_mean.csv,Preset_16,Transformer,42,"[512, 512, 512]",8,3,768,0.2,silu,prenorm,learned,cls,True,0.0002,0.0,32,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10981,1.10145,0.47727,0.21538,"[0.64615, 0.0, 0.0]",182,1.10981,1.10145,0.47727,0.21538,"[0.64615, 0.0, 0.0]",182,STOPPED,48.483
65,20251224_220532,GREW_concat.csv,Preset_17,Transformer,42,"[1024, 768, 512]",16,3,512,0.1,gelu,postnorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11553,2.41906,0.47727,0.39272,"[0.59574, 0.15385, 0.42857]",844,0.71509,1.73382,0.47727,0.45322,"[0.5, 0.33333, 0.52632]",473,COMPLETED,280.931
66,20251224_220532,GREW_mean.csv,Preset_17,Transformer,42,"[1024, 768, 512]",16,3,512,0.1,gelu,postnorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1085,2.84646,0.38636,0.305,"[0.54167, 0.13333, 0.24]",833,0.60667,1.78246,0.61364,0.44431,"[0.65, 0.0, 0.68293]",794,COMPLETED,261.023
67,20251224_220532,OUMVLP_concat.csv,Preset_17,Transformer,42,"[1024, 768, 512]",16,3,512,0.1,gelu,postnorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10559,1.10358,0.15909,0.0915,"[0.0, 0.27451, 0.0]",160,1.10559,1.10358,0.15909,0.0915,"[0.0, 0.27451, 0.0]",160,STOPPED,54.007
68,20251224_220532,OUMVLP_mean.csv,Preset_17,Transformer,42,"[1024, 768, 512]",16,3,512,0.1,gelu,postnorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10264,1.09359,0.47727,0.21538,"[0.64615, 0.0, 0.0]",206,1.10264,1.09359,0.47727,0.21538,"[0.64615, 0.0, 0.0]",206,STOPPED,64.016
69,20251224_220532,GREW_concat.csv,Preset_18,Transformer,42,"[512, 768, 512]",16,3,896,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-05,40,AdamW,0.0,nan,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13361,2.65539,0.5,0.36402,"[0.51429, 0.0, 0.57778]",82,0.50313,1.86393,0.5,0.46566,"[0.53333, 0.36364, 0.5]",42,COMPLETED,20.777
70,20251224_220532,GREW_mean.csv,Preset_18,Transformer,42,"[512, 768, 512]",16,3,896,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-05,40,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1308,2.49528,0.45455,0.33243,"[0.53061, 0.0, 0.46667]",147,0.15443,2.43235,0.52273,0.44233,"[0.57143, 0.2, 0.55556]",131,COMPLETED,35.244
71,20251224_220532,OUMVLP_concat.csv,Preset_18,Transformer,42,"[512, 768, 512]",16,3,896,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-05,40,AdamW,0.0,nan,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10479,2.16117,0.52273,0.37612,"[0.61224, 0.0, 0.51613]",288,0.20952,2.45514,0.54545,0.52707,"[0.55556, 0.46154, 0.5641]",226,COMPLETED,74.739
72,20251224_220532,OUMVLP_mean.csv,Preset_18,Transformer,42,"[512, 768, 512]",16,3,896,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-05,40,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10375,1.90241,0.59091,0.42897,"[0.68085, 0.0, 0.60606]",965,0.32305,1.81954,0.61364,0.56972,"[0.61111, 0.33333, 0.76471]",858,COMPLETED,230.218
73,20251224_220532,GREW_concat.csv,Preset_19,Transformer,42,[512],16,1,2048,0.1,silu,prenorm,learned,cls,True,0.0004,1e-06,64,AdamW,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12381,2.92542,0.38636,0.33487,"[0.45, 0.14286, 0.41176]",205,0.62348,1.76877,0.47727,0.45756,"[0.54054, 0.375, 0.45714]",106,COMPLETED,20.377
74,20251224_220532,GREW_mean.csv,Preset_19,Transformer,42,[512],16,1,2048,0.1,silu,prenorm,learned,cls,True,0.0004,1e-06,64,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14404,2.77522,0.47727,0.40366,"[0.6, 0.15385, 0.45714]",277,0.3712,1.6299,0.56818,0.46689,"[0.7037, 0.33333, 0.36364]",144,COMPLETED,24.669
75,20251224_220532,OUMVLP_concat.csv,Preset_19,Transformer,42,[512],16,1,2048,0.1,silu,prenorm,learned,cls,True,0.0004,1e-06,64,AdamW,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11209,2.74973,0.43182,0.34096,"[0.58537, 0.0, 0.4375]",606,0.40316,1.41915,0.59091,0.42395,"[0.67925, 0.0, 0.59259]",310,COMPLETED,64.245
76,20251224_220532,OUMVLP_mean.csv,Preset_19,Transformer,42,[512],16,1,2048,0.1,silu,prenorm,learned,cls,True,0.0004,1e-06,64,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13386,2.84277,0.45455,0.44495,"[0.48485, 0.4, 0.45]",625,0.39751,2.16043,0.5,0.48881,"[0.58824, 0.42105, 0.45714]",393,COMPLETED,55.597
77,20251224_220532,GREW_concat.csv,Preset_20,Transformer,42,"[896, 640, 384]",16,3,1024,0.05,silu,prenorm,sinusoidal,cls,True,5e-05,1e-06,32,RMSprop,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14779,2.62858,0.43182,0.32927,"[0.4878, 0.0, 0.5]",462,0.16167,2.02513,0.54545,0.44667,"[0.64, 0.2, 0.5]",437,COMPLETED,145.261
78,20251224_220532,GREW_mean.csv,Preset_20,Transformer,42,"[896, 640, 384]",16,3,1024,0.05,silu,prenorm,sinusoidal,cls,True,5e-05,1e-06,32,RMSprop,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14896,2.96981,0.34091,0.2986,"[0.4, 0.14286, 0.35294]",377,0.40365,1.88421,0.5,0.49082,"[0.58537, 0.5, 0.3871]",191,COMPLETED,113.025
79,20251224_220532,OUMVLP_concat.csv,Preset_20,Transformer,42,"[896, 640, 384]",16,3,1024,0.05,silu,prenorm,sinusoidal,cls,True,5e-05,1e-06,32,RMSprop,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.1099,1.07921,0.47727,0.21538,"[0.64615, 0.0, 0.0]",158,1.1099,1.07921,0.47727,0.21538,"[0.64615, 0.0, 0.0]",158,STOPPED,50.818
80,20251224_220532,OUMVLP_mean.csv,Preset_20,Transformer,42,"[896, 640, 384]",16,3,1024,0.05,silu,prenorm,sinusoidal,cls,True,5e-05,1e-06,32,RMSprop,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.11035,1.13073,0.15909,0.0915,"[0.0, 0.27451, 0.0]",240,1.11035,1.13073,0.15909,0.0915,"[0.0, 0.27451, 0.0]",240,STOPPED,72.39
