id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
33,20251130_184336,gaitpart_GREW.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.06975,3.42981,0.34091,0.3049,"[0.46512, 0.23529, 0.21429]",0.40909,0.38585,"[0.52632, 0.26087, 0.37037]",569,0.47642,1.34387,970,COMPLETED,107.933
34,20251130_184336,gaitpart_OUMVLP.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.04714,3.10856,0.5,0.36906,"[0.57778, 0.0, 0.52941]",0.59091,0.5363,"[0.63415, 0.36364, 0.61111]",1242,0.23306,1.67662,1516,COMPLETED,169.032
35,20251130_184336,gaitset.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.07177,3.89544,0.5,0.43435,"[0.625, 0.30769, 0.37037]",0.59091,0.52963,"[0.7, 0.33333, 0.55556]",653,0.60108,2.55061,682,COMPLETED,77.593
36,20251130_184336,gaitset_GREW.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.04614,3.90299,0.29545,0.23394,"[0.35897, 0.0, 0.34286]",0.36364,0.34941,"[0.27586, 0.33333, 0.43902]",650,0.44726,2.78571,687,COMPLETED,81.21
37,20251130_184336,gaitset_OUMVLP.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.05817,3.51721,0.31818,0.26822,"[0.44444, 0.16667, 0.19355]",0.40909,0.4143,"[0.46512, 0.44444, 0.33333]",1479,0.31307,2.66324,1859,COMPLETED,227.257
38,20251130_184336,gln_phase1.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.05132,3.35534,0.36364,0.31293,"[0.4878, 0.11765, 0.33333]",0.54545,0.45792,"[0.6383, 0.14286, 0.59259]",586,0.33581,1.97768,656,COMPLETED,87.84
39,20251130_184336,gln_phase2.csv,gaitgl.csv,Transformer,42,[128],2,1,768,0.0,mish,prenorm,sinusoidal,cls,True,0.0002,1e-05,32,RMSprop,0.0,L2,256,0.07853,3.11975,0.36364,0.31731,"[0.4186, 0.13333, 0.4]",0.52273,0.46256,"[0.6, 0.30769, 0.48]",227,0.55721,1.70705,650,COMPLETED,86.169

40,20251130_190338,baseline_CASIAB.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.51105,4.16783,0.38636,0.21421,"[0.55172, 0.0, 0.09091]",0.43182,0.4292,"[0.45714, 0.41667, 0.41379]",453,0.69376,2.02177,866,STOPPED,186.265
41,20251130_190338,baseline_OUMVLP.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.23195,5.09041,0.52273,0.48977,"[0.55319, 0.4, 0.51613]",0.61364,0.56085,"[0.66667, 0.44444, 0.57143]",1220,0.33695,4.50637,1450,STOPPED,313.763
42,20251130_190338,gaitgl.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,128,0.12563,7.57008,0.38636,0.31269,"[0.52632, 0.0, 0.41176]",0.52273,0.4608,"[0.71111, 0.375, 0.2963]",166,0.72287,1.54037,739,STOPPED,167.376
43,20251130_190338,gaitgl_GREW.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.0804,5.86609,0.43182,0.37136,"[0.4878, 0.18182, 0.44444]",0.54545,0.5029,"[0.5, 0.4, 0.6087]",137,0.68705,1.71242,530,COMPLETED,125.521
44,20251130_190338,gaitgl_GREW_BNNeck.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.21365,7.97382,0.34091,0.26296,"[0.4, 0.0, 0.38889]",0.47727,0.44949,"[0.5, 0.36364, 0.48485]",233,0.67074,2.04877,828,STOPPED,196.531
45,20251130_190338,gaitgl_OUMVLP.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,1.00601,1.02765,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",163,1.00601,1.02765,163,STOPPED,38.598
46,20251130_190338,gaitpart_GREW.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.2327,5.55801,0.52273,0.45385,"[0.65385, 0.4, 0.30769]",0.56818,0.53704,"[0.66667, 0.5, 0.44444]",1305,0.18802,4.68342,1513,STOPPED,315.179
47,20251130_190338,gaitpart_OUMVLP.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,1.02246,1.0229,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",151,1.02246,1.0229,151,STOPPED,31.555
