id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
39,20251221_020302,gaitset_62steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10219,2.63319,0.43182,0.3837,"[0.57778, 0.33333, 0.24]",263,0.13891,2.17665,0.54545,0.46032,"[0.66667, 0.14286, 0.57143]",206,COMPLETED,88.826
40,20251221_020302,gln_93steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13703,2.32319,0.47727,0.43651,"[0.52381, 0.28571, 0.5]",100,0.13195,2.28401,0.5,0.45899,"[0.52381, 0.30769, 0.54545]",97,COMPLETED,42.209

41,20251221_020302,baseline_31steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12519,2.37773,0.45455,0.34673,"[0.59574, 0.0, 0.44444]",421,0.14779,2.64535,0.47727,0.44064,"[0.47368, 0.30769, 0.54054]",326,COMPLETED,56.816
42,20251221_020302,gaitgl_64steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12402,1.8663,0.45455,0.40827,"[0.55814, 0.26667, 0.4]",93,0.23934,1.5309,0.54545,0.43607,"[0.68, 0.16667, 0.46154]",73,COMPLETED,18.611
43,20251221_020302,gaitpart_16steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1181,1.48254,0.59091,0.48832,"[0.71111, 0.15385, 0.6]",524,0.68681,1.13904,0.61364,0.60597,"[0.54545, 0.58824, 0.68421]",131,COMPLETED,63.628
44,20251221_020302,gaitset_62steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12744,2.37366,0.43182,0.37107,"[0.53659, 0.125, 0.45161]",351,0.65567,1.2065,0.52273,0.49485,"[0.61905, 0.42105, 0.44444]",153,COMPLETED,67.671
45,20251221_020302,gln_93steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13211,2.15348,0.38636,0.33922,"[0.51429, 0.125, 0.37838]",333,0.17504,1.96496,0.47727,0.45926,"[0.6, 0.44444, 0.33333]",328,COMPLETED,83.961

46,20251221_020302,baseline_31steps_concat.csv,Preset_10,Transformer,42,"[512, 512, 512, 512, 512]",16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12025,2.51529,0.5,0.41987,"[0.57778, 0.18182, 0.5]",691,0.1911,2.41082,0.52273,0.48468,"[0.5641, 0.36364, 0.52632]",598,COMPLETED,311.345
