id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
441,20251214_021804,gln_phase1.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14992,2.8731,0.34091,0.25388,"[0.51163, 0.0, 0.25]",0.45455,0.37605,"[0.58333, 0.22222, 0.32258]",83,0.73746,1.41799,505,STOPPED,157.30881
442,20251214_021804,gln_phase2.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14271,2.30672,0.45455,0.30792,"[0.60377, 0.0, 0.32]",0.47727,0.46667,"[0.52381, 0.47619, 0.4]",328,0.19035,2.59137,518,COMPLETED,161.33819

482,20251214_021804,baseline_CASIAB.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14933,1.60549,0.43182,0.3631,"[0.57143, 0.14286, 0.375]",0.45455,0.44553,"[0.54054, 0.42105, 0.375]",146,0.31798,1.46292,240,COMPLETED,68.94299
483,20251214_021804,baseline_OUMVLP.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14715,1.6612,0.31818,0.26107,"[0.35897, 0.0, 0.42424]",0.5,0.47776,"[0.51282, 0.375, 0.54545]",110,0.46947,1.25885,236,COMPLETED,67.89117
484,20251214_021804,gaitgl.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14635,1.46783,0.47727,0.43177,"[0.58537, 0.28571, 0.42424]",0.47727,0.4505,"[0.52632, 0.36364, 0.46154]",18,0.26642,1.18446,33,COMPLETED,10.99423
485,20251214_021804,gaitgl_GREW.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14382,1.18705,0.47727,0.34601,"[0.55319, 0.0, 0.48485]",0.52273,0.44011,"[0.59091, 0.2, 0.52941]",21,0.14696,1.15541,24,COMPLETED,8.21365
486,20251214_021804,gaitgl_GREW_BNNeck.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11346,1.05313,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",132,1.11346,1.05313,132,STOPPED,44.97513
487,20251214_021804,gaitgl_OUMVLP.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14762,1.30714,0.47727,0.34992,"[0.58824, 0.0, 0.46154]",0.54545,0.45845,"[0.6087, 0.16667, 0.6]",104,0.15617,1.2476,120,COMPLETED,41.07615
488,20251214_021804,gaitpart_GREW.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11461,1.13676,0.15909,0.0915,"[0.0, 0.27451, 0.0]",0.15909,0.0915,"[0.0, 0.27451, 0.0]",326,1.11461,1.13676,326,STOPPED,87.89545
489,20251214_021804,gaitpart_OUMVLP.csv,best_configs_v3,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,32,Adam,,6e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15462,1.87607,0.47727,0.43313,"[0.5641, 0.23529, 0.5]",0.63636,0.58632,"[0.68293, 0.44444, 0.63158]",196,0.53307,1.17907,740,STOPPED,199.73201
