number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
29,0.2622042424604992,COMPLETE,2025-10-09 01:43:11.687512,2025-10-09 01:43:25.100971,0 days 00:00:13.413459,relu,96,,0.0,uniform,2,1.0,linear,,2.0,0.0,False,True,False,True,,,64.0,2,False,True,True,True,,,0.0001,,minmax,4,RMSprop,attention,False,1e-05,True,"[64, 64, 64, 64]","[1, 3, 5, 7]","[False, True, False, True]",0.0,"[False, True, True, True]"
30,0.22105536368124912,COMPLETE,2025-10-09 01:43:25.102972,2025-10-09 01:45:43.153390,0 days 00:02:18.050418,mish,64,9.0,,decreasing,3,1.0,linear,,3.0,0.0,False,True,True,,,,64.0,9,False,True,False,,,,0.002,0.30000000000000004,minmax,3,SGD,mean,False,1e-05,False,"[896, 768, 640]","[1, 4, 7]","[False, True, True]",0.0,"[False, True, False]"
31,0.21759048895761182,COMPLETE,2025-10-09 01:45:43.155893,2025-10-09 01:45:51.826724,0 days 00:00:08.670831,mish,96,,3.0,uniform,3,2.0,linear,,2.0,0.1,False,,,,,,512.0,7,False,,,,,,0.0005,,minmax,1,RMSprop,max,False,1e-05,False,[192],[2],[False],0.1,[False]
32,0.178030303030303,PRUNED,2025-10-09 01:45:51.828742,2025-10-09 01:45:57.694365,0 days 00:00:05.865623,leakyrelu,96,,2.0,uniform,3,1.0,linear,,2.0,0.1,False,,,,,,512.0,7,False,,,,,,0.001,,minmax,1,RMSprop,max,False,1e-05,False,[128],[1],[False],0.1,[False]
33,0.2613088333704007,COMPLETE,2025-10-09 01:45:57.695869,2025-10-09 01:46:08.564146,0 days 00:00:10.868277,elu,96,,2.0,uniform,3,3.0,linear,,2.0,0.1,False,False,,,,,512.0,7,False,True,,,,,0.0002,,minmax,2,RMSprop,max,False,0.0,False,"[128, 128]","[3, 5]","[False, False]",0.1,"[False, True]"
34,0.178030303030303,PRUNED,2025-10-09 01:46:08.566650,2025-10-09 01:46:12.514009,0 days 00:00:03.947359,leakyrelu,128,,4.0,uniform,3,1.0,linear,,1.0,0.2,False,,,,,,512.0,7,False,,,,,,0.0005,,minmax,1,RMSprop,max,False,1e-05,False,[256],[1],[False],0.2,[False]
35,0.178030303030303,PRUNED,2025-10-09 01:46:12.515007,2025-10-09 01:46:16.490607,0 days 00:00:03.975600,mish,96,,1.0,uniform,3,2.0,linear,,2.0,0.1,True,True,,,,,64.0,2,True,False,,,,,0.0001,,minmax,2,RMSprop,max,False,1e-05,False,"[96, 96]","[2, 4]","[True, True]",0.1,"[True, False]"
36,0.21759048895761182,COMPLETE,2025-10-09 01:46:16.491607,2025-10-09 01:46:25.279121,0 days 00:00:08.787514,relu,128,,4.0,uniform,2,1.0,linear,,3.0,0.0,False,,,,,,64.0,7,False,,,,,,0.001,,minmax,1,Adam,max,False,2e-07,False,[256],[1],[False],0.0,[False]
37,0.46709455886701773,COMPLETE,2025-10-09 01:46:25.281234,2025-10-09 01:46:37.271600,0 days 00:00:11.990366,gelu,96,,2.0,uniform,1,1.0,linear,,3.0,0.1,True,,,,,,,9,True,,,,,,0.0005,,minmax,1,AdamW,max,False,2e-06,False,[128],[1],[True],0.1,[True]
38,0.178030303030303,PRUNED,2025-10-09 01:46:37.273669,2025-10-09 01:46:58.120537,0 days 00:00:20.846868,gelu,16,6.0,,decreasing,1,1.0,linear,,3.0,0.2,True,False,False,True,,,,9,True,False,True,True,,,0.002,,minmax,4,AdamW,mean,False,2e-06,False,"[512, 384, 256, 192]","[1, 4, 7, 10]","[True, False, False, True]",0.2,"[True, False, True, True]"
39,0.45658169899695694,COMPLETE,2025-10-09 01:46:58.122538,2025-10-09 01:47:20.457670,0 days 00:00:22.335132,gelu,32,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
40,0.4505982167801641,COMPLETE,2025-10-09 01:47:20.459671,2025-10-09 01:47:31.477115,0 days 00:00:11.017444,gelu,96,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
41,0.4558274515516893,COMPLETE,2025-10-09 01:47:31.479165,2025-10-09 01:47:45.695143,0 days 00:00:14.215978,gelu,96,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
42,0.4242782748318172,COMPLETE,2025-10-09 01:47:45.698143,2025-10-09 01:47:55.536365,0 days 00:00:09.838222,gelu,96,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
43,0.44936840108544013,COMPLETE,2025-10-09 01:47:55.536365,2025-10-09 01:48:04.748512,0 days 00:00:09.212147,gelu,96,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
44,0.4696233018345472,COMPLETE,2025-10-09 01:48:04.749834,2025-10-09 01:48:13.802508,0 days 00:00:09.052674,gelu,96,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,True,,,,,9,True,True,False,,,,0.0002,,L2,3,AdamW,last,True,2e-06,False,"[96, 96, 96]","[1, 4, 7]","[True, True, True]",0.1,"[True, True, False]"
45,0.44668269421102536,COMPLETE,2025-10-09 01:48:13.804513,2025-10-09 01:48:24.540409,0 days 00:00:10.735896,gelu,96,,0.0,uniform,1,1.0,linear,,3.0,0.1,True,True,True,,,,,9,True,True,False,,,,0.0002,,L2,3,AdamW,last,True,2e-06,False,"[64, 64, 64]","[1, 4, 7]","[True, True, True]",0.1,"[True, True, False]"
46,0.21640488656195464,PRUNED,2025-10-09 01:48:24.540409,2025-10-09 01:48:31.428438,0 days 00:00:06.888029,gelu,96,,1.0,uniform,1,,pow2,1.0,,0.1,True,True,True,,,,,9,True,True,False,,,,0.0002,,L2,3,AdamW,last,True,2e-06,False,"[96, 96, 96]","[1, 2, 4]","[True, True, True]",0.1,"[True, True, False]"
47,0.443636255783248,COMPLETE,2025-10-09 01:48:31.430092,2025-10-09 01:48:42.460529,0 days 00:00:11.030437,gelu,96,,2.0,uniform,1,1.0,linear,,3.0,0.1,True,True,True,,,,,9,True,True,False,,,,0.0002,,L2,3,AdamW,last,True,2e-06,False,"[128, 128, 128]","[1, 4, 7]","[True, True, True]",0.1,"[True, True, False]"
48,0.4091288303397878,COMPLETE,2025-10-09 01:48:42.460529,2025-10-09 01:48:54.177410,0 days 00:00:11.716881,gelu,128,,1.0,uniform,1,1.0,linear,,3.0,0.1,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[96, 96]","[1, 4]","[True, True]",0.1,"[True, True]"
49,0.4496569126465209,COMPLETE,2025-10-09 01:48:54.180453,2025-10-09 01:49:05.760258,0 days 00:00:11.579805,gelu,96,,0.0,uniform,1,,pow2,2.0,,0.2,True,True,,,,,,9,True,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[64, 64]","[2, 4]","[True, True]",0.2,"[True, True]"
