number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
20,0.178030303030303,PRUNED,2025-10-09 00:33:02.749413,2025-10-09 00:33:24.907023,0 days 00:00:22.157610,mish,32,6.0,,increasing,3,3.0,linear,,1.0,0.2,True,,,,,,,7,False,,,,,,0.0002,,minmax,1,AdamW,max,True,2e-06,False,[512],[3],[True],0.2,[False]
21,0.43150129869766013,COMPLETE,2025-10-09 00:33:24.909079,2025-10-09 00:34:35.813604,0 days 00:01:10.904525,mish,32,7.0,,increasing,2,3.0,linear,,1.0,0.3,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[640],[3],[False],0.3,[False]
22,0.4282328221722161,COMPLETE,2025-10-09 00:34:35.815610,2025-10-09 00:36:10.712783,0 days 00:01:34.897173,mish,32,8.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[768],[3],[False],0.2,[False]
23,0.21640488656195464,PRUNED,2025-10-09 00:36:10.712783,2025-10-09 00:37:08.610384,0 days 00:00:57.897601,mish,32,8.0,,increasing,2,3.0,linear,,1.0,0.1,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[768],[3],[False],0.1,[False]
24,0.21875,PRUNED,2025-10-09 00:37:08.611388,2025-10-09 00:37:36.809697,0 days 00:00:28.198309,mish,32,8.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[768],[3],[False],0.2,[False]
25,0.4104342682031334,COMPLETE,2025-10-09 00:37:36.810700,2025-10-09 00:39:36.253644,0 days 00:01:59.442944,mish,32,6.0,,increasing,2,3.0,linear,,1.0,0.2,False,True,,,,,,7,False,True,,,,,0.0001,,L2,2,AdamW,last,True,2e-06,False,"[512, 640]","[3, 4]","[False, True]",0.2,"[False, True]"
26,0.32026143790849676,PRUNED,2025-10-09 00:39:36.255128,2025-10-09 00:42:28.938404,0 days 00:02:52.683276,mish,32,9.0,,increasing,2,,pow2,2.0,,0.1,False,,,,,,,7,False,,,,,,1e-05,,L2,1,AdamW,last,False,2e-06,False,[896],[2],[False],0.1,[False]
27,0.21640488656195464,PRUNED,2025-10-09 00:42:28.940845,2025-10-09 00:43:21.279592,0 days 00:00:52.338747,relu,32,7.0,,increasing,2,3.0,linear,,2.0,0.2,False,,,,,,,7,False,,,,,,0.001,,L2,1,AdamW,last,True,1e-05,False,[640],[3],[False],0.2,[False]
28,0.11799086757990868,PRUNED,2025-10-09 00:43:21.280592,2025-10-09 00:45:18.673878,0 days 00:01:57.393286,mish,32,7.0,,decreasing,3,3.0,linear,,1.0,0.2,False,False,,,,,,7,False,True,,,,,0.0005,,L2,2,AdamW,last,True,2e-06,False,"[640, 512]","[3, 4]","[False, False]",0.2,"[False, True]"
29,0.21759048895761182,COMPLETE,2025-10-09 00:45:18.674878,2025-10-09 00:46:13.717123,0 days 00:00:55.042245,mish,96,5.0,,increasing,2,3.0,linear,,1.0,0.1,False,True,,,,,128.0,7,False,True,,,,,0.001,,L2,2,AdamW,mean,False,1e-06,False,"[384, 512]","[3, 4]","[False, True]",0.1,"[False, True]"
30,0.4052973012335737,COMPLETE,2025-10-09 00:46:13.719124,2025-10-09 00:47:58.578002,0 days 00:01:44.858878,mish,16,8.0,,increasing,2,3.0,linear,,2.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[768],[3],[False],0.2,[False]
31,0.41572956338102984,COMPLETE,2025-10-09 00:47:58.580003,2025-10-09 00:49:54.933627,0 days 00:01:56.353624,mish,32,6.0,,increasing,2,3.0,linear,,1.0,0.2,False,True,,,,,,7,False,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[512, 640]","[3, 4]","[False, True]",0.2,"[False, True]"
32,0.4445329213826841,COMPLETE,2025-10-09 00:49:54.936131,2025-10-09 00:50:56.278095,0 days 00:01:01.341964,mish,32,6.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[512],[3],[False],0.2,[False]
33,0.4273933835073996,COMPLETE,2025-10-09 00:50:56.280615,2025-10-09 00:52:40.556252,0 days 00:01:44.275637,elu,32,7.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[640],[3],[False],0.2,[False]
34,0.3739661831079984,COMPLETE,2025-10-09 00:52:40.558312,2025-10-09 00:53:16.896711,0 days 00:00:36.338399,mish,32,5.0,,increasing,2,,pow2,1.0,,0.3,False,,,,,,,2,False,,,,,,0.0002,,L2,1,AdamW,attention,False,2e-06,False,[384],[1],[False],0.3,[False]
35,0.178030303030303,PRUNED,2025-10-09 00:53:16.898714,2025-10-09 00:53:32.063368,0 days 00:00:15.164654,prelu,32,4.0,,increasing,2,3.0,linear,,1.0,0.1,False,False,,,,,256.0,7,False,False,,,,,1e-05,,L2,2,AdamW,last,True,2e-06,False,"[256, 384]","[3, 4]","[False, False]",0.1,"[False, False]"
36,0.21640488656195464,PRUNED,2025-10-09 00:53:32.064368,2025-10-09 00:54:35.746374,0 days 00:01:03.682006,mish,96,8.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,64.0,9,False,,,,,,0.0005,,L2,1,AdamW,attention,True,0.0,False,[768],[3],[False],0.2,[False]
37,0.21640488656195464,PRUNED,2025-10-09 00:54:35.747878,2025-10-09 00:55:26.396631,0 days 00:00:50.648753,hardswish,32,7.0,,decreasing,3,,pow2,2.0,,0.3,False,,,,,,128.0,5,False,,,,,,0.0002,,L2,1,AdamW,mean,False,1e-06,False,[640],[2],[False],0.3,[False]
