number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
38,0.2299606274044265,COMPLETE,2025-10-09 04:36:33.226675,2025-10-09 04:36:52.456663,0 days 00:00:19.229988,prelu,128,,2.0,uniform,3,,pow2,2.0,,0.1,True,True,False,,,,256.0,3,False,True,True,,,,0.0005,,minmax,3,AdamW,max,True,1e-06,False,"[128, 128, 128]","[2, 4, 8]","[True, True, False]",0.1,"[False, True, True]"
39,0.21759048895761182,COMPLETE,2025-10-09 04:36:52.459183,2025-10-09 04:37:16.182859,0 days 00:00:23.723676,gelu,32,,5.0,uniform,1,1.0,linear,,3.0,0.0,True,False,,,,,128.0,2,True,False,,,,,0.002,0.5,L2,2,SGD,attention,False,2e-07,False,"[384, 384]","[1, 4]","[True, False]",0.0,"[True, False]"
40,0.178030303030303,PRUNED,2025-10-09 04:37:16.185906,2025-10-09 04:37:25.209821,0 days 00:00:09.023915,silu,16,3.0,,increasing,1,3.0,linear,,2.0,0.1,True,,,,,,64.0,7,False,,,,,,0.0002,,L2,1,Adam,last,True,5e-07,True,[192],[3],[True],0.1,[False]
41,0.21875,PRUNED,2025-10-09 04:37:25.210838,2025-10-09 04:39:55.332936,0 days 00:02:30.122098,relu,16,7.0,,decreasing,3,3.0,linear,,3.0,0.1,True,False,,,,,256.0,7,False,True,,,,,0.0001,,L2,2,AdamW,last,False,1e-07,False,"[640, 512]","[3, 6]","[True, False]",0.1,"[False, True]"
42,0.4491868063687558,COMPLETE,2025-10-09 04:39:55.333955,2025-10-09 04:42:39.547793,0 days 00:02:44.213838,relu,16,7.0,,decreasing,2,3.0,linear,,3.0,0.1,True,False,,,,,256.0,7,False,True,,,,,0.0001,,L2,2,AdamW,last,False,1e-07,False,"[640, 512]","[3, 6]","[True, False]",0.1,"[False, True]"
43,0.21761658031088082,PRUNED,2025-10-09 04:42:39.549806,2025-10-09 04:44:00.827007,0 days 00:01:21.277201,relu,16,8.0,,decreasing,2,3.0,linear,,3.0,0.1,True,False,False,,,,256.0,7,False,True,True,,,,0.0001,,L2,3,AdamW,last,False,1e-07,False,"[768, 640, 512]","[3, 6, 9]","[True, False, False]",0.1,"[False, True, True]"
44,0.2828022349112789,PRUNED,2025-10-09 04:44:00.828512,2025-10-09 04:44:34.413981,0 days 00:00:33.585469,relu,16,6.0,,decreasing,1,3.0,linear,,3.0,0.0,True,,,,,,,7,False,,,,,,0.0001,,L2,1,AdamW,last,False,1e-07,False,[512],[3],[True],0.0,[False]
45,0.178030303030303,PRUNED,2025-10-09 04:44:34.416003,2025-10-09 04:45:26.531188,0 days 00:00:52.115185,mish,64,8.0,,decreasing,2,2.0,linear,,3.0,0.1,True,False,,,,,256.0,9,False,True,,,,,0.001,,L2,2,AdamW,max,False,1e-06,False,"[768, 640]","[2, 5]","[True, False]",0.1,"[False, True]"
46,0.178030303030303,PRUNED,2025-10-09 04:45:26.532197,2025-10-09 04:45:41.254442,0 days 00:00:14.722245,relu,16,5.0,,decreasing,3,,pow2,1.0,,0.0,False,,,,,,64.0,3,True,,,,,,0.0001,,minmax,1,RMSprop,last,False,2e-06,False,[384],[1],[False],0.0,[True]
47,0.21875,PRUNED,2025-10-09 04:45:41.256482,2025-10-09 04:46:32.710056,0 days 00:00:51.453574,hardswish,32,5.0,,increasing,1,2.0,linear,,1.0,0.2,True,False,True,,,,256.0,7,False,True,False,,,,1e-05,,L2,3,Adam,attention,False,1e-07,False,"[384, 512, 640]","[2, 3, 4]","[True, False, True]",0.2,"[False, True, False]"
48,0.21759048895761182,COMPLETE,2025-10-09 04:46:32.711062,2025-10-09 04:48:37.589778,0 days 00:02:04.878716,relu,96,,8.0,uniform,1,2.0,linear,,3.0,0.1,True,False,False,True,,,512.0,7,False,False,True,False,,,0.0005,,L2,4,AdamW,max,False,1e-05,False,"[768, 768, 768, 768]","[2, 5, 8, 11]","[True, False, False, True]",0.1,"[False, False, True, False]"
49,0.21759048895761182,COMPLETE,2025-10-09 04:48:37.592811,2025-10-09 04:50:07.349019,0 days 00:01:29.756208,gelu,16,6.0,,increasing,2,2.0,linear,,2.0,0.0,True,True,,,,,256.0,5,False,True,,,,,0.0001,,L2,2,Adam,mean,True,2e-07,False,"[512, 640]","[2, 4]","[True, True]",0.0,"[False, True]"
