number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
39,0.21875,PRUNED,2025-10-09 06:31:53.076910,2025-10-09 06:32:58.430981,0 days 00:01:05.354071,"[512, 512, 512, 512]","[3, 6, 9, 12]",[0],"[0, 2, 3]",0.2,hardswish,96,uniform,3,linear,128.0,5,1e-05,,minmax,4,RMSprop,mean,True,1e-06,False
40,0.361801889697705,COMPLETE,2025-10-09 06:32:58.431981,2025-10-09 06:40:44.799890,0 days 00:07:46.367909,"[768, 768, 768, 768, 768, 768]","[2, 4, 8, 16, 32, 64]","[1, 4]","[1, 2, 3]",0.1,hardswish,96,uniform,2,pow2,128.0,5,0.002,0.9,minmax,6,SGD,max,False,1e-06,False
41,0.3163041364558157,PRUNED,2025-10-09 06:40:44.802955,2025-10-09 06:40:50.122698,0 days 00:00:05.319743,"[128, 128, 128]","[3, 6, 9]",[1],"[1, 2]",0.0,hardswish,96,uniform,1,linear,128.0,5,0.0002,,minmax,3,AdamW,last,True,1e-06,False
42,0.2164048865619546,PRUNED,2025-10-09 06:40:50.123698,2025-10-09 06:42:09.131078,0 days 00:01:19.007380,"[768, 768, 768]","[3, 6, 9]",[1],"[1, 2]",0.0,silu,64,uniform,1,linear,128.0,5,0.0002,,minmax,3,AdamW,last,True,2e-07,False
43,0.21875,PRUNED,2025-10-09 06:42:09.133110,2025-10-09 06:42:26.437878,0 days 00:00:17.304768,"[384, 384, 384, 384]","[3, 6, 9, 12]","[1, 3]","[1, 2]",0.3,elu,128,uniform,1,linear,512.0,3,0.0002,,minmax,4,AdamW,last,True,1e-06,False
44,0.178030303030303,PRUNED,2025-10-09 06:42:26.439891,2025-10-09 06:42:55.379078,0 days 00:00:28.939187,"[768, 768]","[2, 5]",[1],[1],0.1,hardswish,64,uniform,1,linear,64.0,5,0.0002,,minmax,2,AdamW,last,True,0.0,True
45,0.2276111685652988,COMPLETE,2025-10-09 06:42:55.380078,2025-10-09 06:43:44.022768,0 days 00:00:48.642690,"[512, 512, 512]","[3, 5, 7]",[1],"[1, 2]",0.2,prelu,96,uniform,1,linear,256.0,3,0.0005,0.3,L2,3,SGD,last,True,5e-07,False
46,0.0855855855855855,PRUNED,2025-10-09 06:43:44.024796,2025-10-09 06:44:55.483736,0 days 00:01:11.458940,[896],[2],[0],[],0.0,mish,64,uniform,2,linear,,9,0.0002,,L2,1,AdamW,last,True,2e-06,True
47,0.4615618998834367,COMPLETE,2025-10-09 06:44:55.484736,2025-10-09 06:46:34.176439,0 days 00:01:38.691703,[640],[2],[],[0],0.0,relu,32,decreasing,2,linear,128.0,7,0.002,,L2,1,AdamW,last,True,1e-05,True
48,0.178030303030303,PRUNED,2025-10-09 06:46:34.178441,2025-10-09 06:46:56.488829,0 days 00:00:22.310388,"[512, 512]","[1, 2]",[1],[1],0.1,leakyrelu,128,uniform,1,pow2,,9,0.0001,,L2,2,RMSprop,attention,True,1e-06,True
49,0.3806332872150282,PRUNED,2025-10-09 06:46:56.489834,2025-10-09 06:47:32.956586,0 days 00:00:36.466752,[768],[3],[],[],0.0,mish,96,uniform,1,linear,512.0,2,0.0002,,minmax,1,AdamW,last,True,2e-07,False
