id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
543,gaitset_GREW.csv,0.51944,0.21538,-0.30406,0.625 / 0.400 / 0.533,0.646 / 0.000 / 0.000,0.021 / -0.400 / -0.533
544,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
545,gln_phase1.csv,0.40762,0.43598,0.02836,0.529 / 0.182 / 0.512,0.286 / 0.400 / 0.622,-0.244 / 0.218 / 0.111
546,gln_phase2.csv,0.46734,0.39137,-0.07597,0.424 / 0.400 / 0.578,0.387 / 0.273 / 0.514,-0.037 / -0.127 / -0.063
625,baseline_CASIAB.csv,0.50199,0.49145,-0.01054,0.467 / 0.462 / 0.578,0.513 / 0.462 / 0.500,0.046 / 0.000 / -0.078
626,baseline_OUMVLP.csv,0.53856,0.53434,-0.00422,0.585 / 0.364 / 0.667,0.632 / 0.400 / 0.571,0.046 / 0.036 / -0.095
627,gaitgl.csv,0.45033,0.41877,-0.03156,0.619 / 0.308 / 0.424,0.471 / 0.286 / 0.500,-0.148 / -0.022 / 0.076
628,gaitgl_GREW.csv,0.40278,0.45409,0.05131,0.625 / 0.250 / 0.333,0.682 / 0.267 / 0.414,0.057 / 0.017 / 0.080
629,gaitgl_GREW_BNNeck.csv,0.41128,0.3902,-0.02108,0.512 / 0.222 / 0.500,0.512 / 0.143 / 0.516,0.000 / -0.079 / 0.016
630,gaitgl_OUMVLP.csv,0.52181,0.57968,0.05787,0.485 / 0.462 / 0.619,0.611 / 0.533 / 0.595,0.126 / 0.072 / -0.024
631,gaitpart_GREW.csv,0.50373,0.56245,0.05872,0.708 / 0.222 / 0.581,0.667 / 0.400 / 0.621,-0.042 / 0.178 / 0.040
632,gaitpart_OUMVLP.csv,0.65783,0.54188,-0.11595,0.682 / 0.667 / 0.625,0.550 / 0.429 / 0.647,-0.132 / -0.238 / 0.022
633,gaitset.csv,0.46012,0.49405,0.03393,0.596 / 0.400 / 0.385,0.625 / 0.500 / 0.357,0.029 / 0.100 / -0.027
