id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
237,gaitgl.csv,0.49312,0.42399,-0.06913,0.524 / 0.400 / 0.556,0.450 / 0.308 / 0.514,-0.074 / -0.092 / -0.041
238,gaitgl_GREW.csv,0.40525,0.45612,0.05087,0.605 / 0.000 / 0.611,0.681 / 0.000 / 0.688,0.076 / 0.000 / 0.076
239,gaitgl_GREW_BNNeck.csv,0.44333,0.36407,-0.07926,0.583 / 0.267 / 0.480,0.390 / 0.235 / 0.467,-0.193 / -0.031 / -0.013
240,gaitgl_OUMVLP.csv,0.47759,0.47218,-0.00541,0.619 / 0.167 / 0.647,0.585 / 0.286 / 0.545,-0.034 / 0.119 / -0.102
241,gaitpart_GREW.csv,0.61938,0.66134,0.04196,0.696 / 0.600 / 0.562,0.723 / 0.727 / 0.533,0.028 / 0.127 / -0.029
242,gaitpart_OUMVLP.csv,0.54267,0.4938,-0.04887,0.739 / 0.222 / 0.667,0.615 / 0.182 / 0.684,-0.124 / -0.040 / 0.018
243,gaitset.csv,0.43538,0.53493,0.09955,0.545 / 0.222 / 0.538,0.653 / 0.400 / 0.552,0.108 / 0.178 / 0.013
244,gaitset_GREW.csv,0.56891,0.5285,-0.04041,0.651 / 0.444 / 0.611,0.652 / 0.333 / 0.600,0.001 / -0.111 / -0.011
245,gaitset_OUMVLP.csv,0.50712,0.49996,-0.00716,0.651 / 0.308 / 0.562,0.636 / 0.154 / 0.710,-0.015 / -0.154 / 0.147
246,gln_phase1.csv,0.57534,0.67298,0.09764,0.651 / 0.545 / 0.529,0.727 / 0.667 / 0.625,0.076 / 0.121 / 0.096
247,gln_phase2.csv,0.58368,0.53822,-0.04546,0.634 / 0.571 / 0.545,0.652 / 0.400 / 0.562,0.018 / -0.171 / 0.017
248,baseline_CASIAB.csv,0.49134,0.45862,-0.03272,0.545 / 0.500 / 0.429,0.564 / 0.400 / 0.412,0.019 / -0.100 / -0.017
249,baseline_OUMVLP.csv,0.52479,0.52681,0.00202,0.667 / 0.308 / 0.600,0.667 / 0.308 / 0.606,0.000 / 0.000 / 0.006
250,gaitgl.csv,0.34022,0.36643,0.02621,0.465 / 0.222 / 0.333,0.439 / 0.250 / 0.410,-0.026 / 0.028 / 0.077
251,gaitgl_GREW.csv,0.46254,0.41956,-0.04298,0.550 / 0.222 / 0.615,0.432 / 0.286 / 0.541,-0.118 / 0.063 / -0.075
252,gaitgl_GREW_BNNeck.csv,0.43444,0.3842,-0.05024,0.558 / 0.308 / 0.438,0.558 / 0.143 / 0.452,0.000 / -0.165 / 0.014
253,gaitgl_OUMVLP.csv,0.21538,0.57136,0.35598,0.646 / 0.000 / 0.000,0.537 / 0.571 / 0.606,-0.110 / 0.571 / 0.606
254,gaitpart_GREW.csv,0.56617,0.60125,0.03508,0.653 / 0.545 / 0.500,0.698 / 0.500 / 0.606,0.045 / -0.045 / 0.106
255,gaitpart_OUMVLP.csv,0.63004,0.57252,-0.05752,0.762 / 0.462 / 0.667,0.683 / 0.429 / 0.606,-0.079 / -0.033 / -0.061
256,gaitset.csv,0.52232,0.5183,-0.00402,0.667 / 0.308 / 0.593,0.696 / 0.267 / 0.593,0.029 / -0.041 / 0.000
257,gaitset_GREW.csv,0.5814,0.52778,-0.05362,0.756 / 0.364 / 0.625,0.650 / 0.267 / 0.667,-0.106 / -0.097 / 0.042
258,gaitset_OUMVLP.csv,0.55235,0.4555,-0.09685,0.636 / 0.400 / 0.621,0.638 / 0.267 / 0.462,0.002 / -0.133 / -0.159
259,gln_phase1.csv,0.55349,0.54483,-0.00866,0.634 / 0.526 / 0.500,0.579 / 0.556 / 0.500,-0.055 / 0.029 / 0.000
260,gln_phase2.csv,0.52181,0.50855,-0.01326,0.619 / 0.462 / 0.485,0.564 / 0.462 / 0.500,-0.055 / 0.000 / 0.015
261,baseline_CASIAB.csv,0.47535,0.5003,0.02495,0.596 / 0.364 / 0.467,0.691 / 0.250 / 0.560,0.095 / -0.114 / 0.093
262,baseline_OUMVLP.csv,0.56125,0.64563,0.08438,0.622 / 0.462 / 0.600,0.651 / 0.600 / 0.686,0.029 / 0.138 / 0.086
263,gaitgl.csv,0.50245,0.48215,-0.0203,0.526 / 0.444 / 0.537,0.622 / 0.400 / 0.424,0.096 / -0.044 / -0.112
264,gaitgl_GREW.csv,0.43939,0.38162,-0.05777,0.591 / 0.182 / 0.545,0.421 / 0.267 / 0.457,-0.170 / 0.085 / -0.088
265,gaitgl_GREW_BNNeck.csv,0.53423,0.52734,-0.00689,0.596 / 0.444 / 0.562,0.667 / 0.364 / 0.552,0.071 / -0.081 / -0.011
266,gaitgl_OUMVLP.csv,0.5151,0.60433,0.08923,0.471 / 0.588 / 0.486,0.571 / 0.727 / 0.514,0.101 / 0.139 / 0.028
267,gaitpart_GREW.csv,0.46317,0.52989,0.06672,0.684 / 0.261 / 0.444,0.711 / 0.250 / 0.629,0.027 / -0.011 / 0.184
268,gaitpart_OUMVLP.csv,0.61457,0.55039,-0.06418,0.632 / 0.545 / 0.667,0.651 / 0.333 / 0.667,0.020 / -0.212 / 0.000
269,gaitset.csv,0.43347,0.41089,-0.02258,0.512 / 0.375 / 0.414,0.588 / 0.200 / 0.444,0.077 / -0.175 / 0.031
270,gaitset_GREW.csv,0.56946,0.51073,-0.05873,0.698 / 0.364 / 0.647,0.636 / 0.333 / 0.562,-0.061 / -0.030 / -0.085
271,gaitset_OUMVLP.csv,0.53501,0.43892,-0.09609,0.756 / 0.333 / 0.516,0.605 / 0.167 / 0.545,-0.151 / -0.167 / 0.029
272,gln_phase1.csv,0.66369,0.67172,0.00803,0.714 / 0.714 / 0.562,0.682 / 0.727 / 0.606,-0.032 / 0.013 / 0.044
273,gln_phase2.csv,0.55,0.47667,-0.07333,0.650 / 0.500 / 0.500,0.636 / 0.222 / 0.571,-0.014 / -0.278 / 0.071
274,baseline_CASIAB.csv,0.53195,0.52891,-0.00304,0.651 / 0.429 / 0.516,0.600 / 0.471 / 0.516,-0.051 / 0.042 / 0.000
275,baseline_OUMVLP.csv,0.60394,0.58406,-0.01988,0.667 / 0.500 / 0.645,0.652 / 0.500 / 0.600,-0.014 / 0.000 / -0.045
276,gaitgl.csv,0.45795,0.38081,-0.07714,0.653 / 0.364 / 0.357,0.500 / 0.400 / 0.242,-0.153 / 0.036 / -0.115
277,gaitgl_GREW.csv,0.43384,0.36959,-0.06425,0.550 / 0.267 / 0.485,0.524 / 0.133 / 0.452,-0.026 / -0.133 / -0.033
278,gaitgl_GREW_BNNeck.csv,0.5101,0.52538,0.01528,0.667 / 0.364 / 0.500,0.653 / 0.462 / 0.462,-0.014 / 0.098 / -0.038
279,gaitgl_OUMVLP.csv,0.31081,0.63665,0.32584,0.500 / 0.000 / 0.432,0.696 / 0.714 / 0.500,0.196 / 0.714 / 0.068
280,gaitpart_GREW.csv,0.56645,0.56381,-0.00264,0.667 / 0.444 / 0.588,0.720 / 0.400 / 0.571,0.053 / -0.044 / -0.017
281,gaitpart_OUMVLP.csv,0.57896,0.53668,-0.04228,0.651 / 0.400 / 0.686,0.727 / 0.400 / 0.483,0.076 / 0.000 / -0.203
282,gaitset.csv,0.52595,0.52786,0.00191,0.585 / 0.421 / 0.571,0.650 / 0.353 / 0.581,0.065 / -0.068 / 0.009
283,gaitset_GREW.csv,0.53801,0.57341,0.0354,0.636 / 0.462 / 0.516,0.667 / 0.429 / 0.625,0.030 / -0.033 / 0.109
