id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,epochs_trained,best_epoch,train_loss_best_state,test_loss_best_state,training
55,20251127_192631,gaitgl.csv,gaitgl_GREW_BNNeck.csv,MLP,42,26,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.08426,1.85799,0.36364,0.31606,"[0.42857, 0.16667, 0.35294]",0.56818,0.54717,"[0.64151, 0.6, 0.4]",957,528,0.57783,1.12163,COMPLETED
56,20251127_192631,gaitgl_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,31,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.08992,1.7571,0.36364,0.31766,"[0.38889, 0.15385, 0.41026]",0.5,0.44467,"[0.6, 0.36364, 0.37037]",979,713,0.36085,1.35406,COMPLETED
57,20251127_192631,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,MLP,42,21,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.08628,2.11902,0.34091,0.29464,"[0.3125, 0.14286, 0.42857]",0.52273,0.44735,"[0.57778, 0.25, 0.51429]",1384,1113,0.25531,1.53092,COMPLETED
58,20251127_192631,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,5,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.67842,1.21398,0.45455,0.34144,"[0.59574, 0.0, 0.42857]",0.54545,0.37346,"[0.7037, 0.0, 0.41667]",5000,4807,0.67649,1.25831,COMPLETED
59,20251127_192631,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,22,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.08838,1.93611,0.47727,0.34873,"[0.6087, 0.0, 0.4375]",0.52273,0.47081,"[0.63415, 0.30769, 0.47059]",1872,1256,0.43148,1.28976,COMPLETED
60,20251127_192631,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,11,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.09042,2.53102,0.38636,0.33375,"[0.44444, 0.18182, 0.375]",0.47727,0.41081,"[0.57692, 0.30769, 0.34783]",4232,4144,0.1078,2.77196,COMPLETED
61,20251127_192631,gaitset.csv,gaitgl_GREW_BNNeck.csv,MLP,42,12,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.09935,1.84578,0.43182,0.38185,"[0.47619, 0.11765, 0.55172]",0.54545,0.50779,"[0.46667, 0.44444, 0.61224]",2632,1834,0.40882,1.50093,COMPLETED
62,20251127_192631,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,23,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.09021,1.96489,0.31818,0.2463,"[0.38889, 0.0, 0.35]",0.56818,0.39621,"[0.70588, 0.0, 0.48276]",1754,1141,0.49567,1.28369,COMPLETED
63,20251127_192631,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,10,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.18848,1.73497,0.52273,0.35802,"[0.62963, 0.0, 0.44444]",0.56818,0.49444,"[0.66667, 0.4, 0.41667]",5000,3029,0.69523,1.04729,COMPLETED
64,20251127_192631,gln_phase1.csv,gaitgl_GREW_BNNeck.csv,MLP,42,11,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.09183,1.69808,0.54545,0.49042,"[0.63415, 0.30769, 0.52941]",0.61364,0.56053,"[0.63158, 0.4, 0.65]",2617,1357,0.55403,1.09665,COMPLETED
65,20251127_192631,gln_phase2.csv,gaitgl_GREW_BNNeck.csv,MLP,42,10,"[768, 384]",0.5,[],[],,max,L2,96,2,768,leakyrelu,RMSprop,,0.0002,1e-07,True,0.09449,1.91155,0.54545,0.4901,"[0.58824, 0.26667, 0.61538]",0.59091,0.56459,"[0.60606, 0.42105, 0.66667]",3100,2740,0.23882,1.64216,COMPLETED

66,20251127_194136,baseline_CASIAB.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[256, 128]",,[1],[1],0.4,max,minmax,16,2,256,leakyrelu,AdamW,,0.0001,0.0001,False,0.08275,1.90473,0.52273,0.41239,"[0.66667, 0.15385, 0.41667]",0.54545,0.49529,"[0.62222, 0.36364, 0.5]",113,47,0.52756,1.06302,COMPLETED
67,20251127_194136,baseline_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[256, 128]",,[1],[1],0.4,max,minmax,16,2,256,leakyrelu,AdamW,,0.0001,0.0001,False,0.06497,2.18744,0.31818,0.2963,"[0.4, 0.22222, 0.26667]",0.40909,0.36487,"[0.36842, 0.25, 0.47619]",122,80,0.22144,1.61565,COMPLETED
68,20251127_194136,gaitgl.csv,gaitgl_OUMVLP.csv,MLP,42,128,"[256, 128]",,[1],[1],0.4,max,minmax,16,2,256,leakyrelu,AdamW,,0.0001,0.0001,False,0.07395,1.90922,0.47727,0.45626,"[0.51163, 0.4, 0.45714]",0.47727,0.46864,"[0.4878, 0.44444, 0.47368]",159,99,0.20959,1.50045,COMPLETED
69,20251127_194136,gaitgl_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[256, 128]",,[1],[1],0.4,max,minmax,16,2,256,leakyrelu,AdamW,,0.0001,0.0001,False,0.08773,2.26087,0.36364,0.28061,"[0.5, 0.18182, 0.16]",0.45455,0.38366,"[0.54167, 0.22222, 0.3871]",82,39,0.44913,1.23733,COMPLETED
