id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
39,20260111_181512,gln_phase2_LOW70.csv,70%,Preset_56,MLP,42,57,"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.10818,1.75742,0.40909,0.35518,"[0.54054, 0.125, 0.4]",50,0.15444,1.58543,0.52273,0.43005,"[0.65306, 0.25, 0.3871]",39,COMPLETED,1.827

40,20260111_181512,baseline_CASIAB_LOW70.csv,70%,Preset_66,MLP,42,50,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11459,2.15938,0.43182,0.40756,"[0.46512, 0.33333, 0.42424]",150,0.1459,2.24623,0.5,0.46944,"[0.54167, 0.4, 0.46667]",79,COMPLETED,7.323
41,20260111_181512,baseline_OUMVLP_LOW70.csv,70%,Preset_66,MLP,42,48,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11925,1.97103,0.54545,0.49926,"[0.63415, 0.36364, 0.5]",144,0.13137,1.97159,0.61364,0.5659,"[0.68182, 0.44444, 0.57143]",99,COMPLETED,6.969
42,20260111_181512,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_66,MLP,42,61,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11281,2.24339,0.5,0.40687,"[0.625, 0.18182, 0.41379]",126,0.14676,2.34317,0.56818,0.52222,"[0.66667, 0.4, 0.5]",79,COMPLETED,6.299
43,20260111_181512,gaitgl_GREW_LOW70.csv,70%,Preset_66,MLP,42,75,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11302,2.16957,0.47727,0.37037,"[0.5, 0.0, 0.61111]",122,0.12695,2.52659,0.52273,0.41081,"[0.58537, 0.0, 0.64706]",80,COMPLETED,6.229
44,20260111_181512,gaitgl_LOW70.csv,70%,Preset_66,MLP,42,37,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11562,2.56073,0.43182,0.39583,"[0.5, 0.25, 0.4375]",197,0.30663,2.19938,0.5,0.4743,"[0.52941, 0.35294, 0.54054]",52,COMPLETED,9.535
45,20260111_181512,gaitgl_OUMVLP_LOW70.csv,70%,Preset_66,MLP,42,41,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.1151,2.21567,0.40909,0.38242,"[0.46154, 0.28571, 0.4]",241,0.18941,2.46977,0.54545,0.49179,"[0.6087, 0.33333, 0.53333]",108,COMPLETED,11.529
46,20260111_181512,gaitpart_GREW_LOW70.csv,70%,Preset_66,MLP,42,66,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11945,1.97247,0.54545,0.44017,"[0.65385, 0.22222, 0.44444]",114,0.12949,1.84422,0.59091,0.5284,"[0.66667, 0.4, 0.51852]",106,COMPLETED,5.674
47,20260111_181512,gaitpart_OUMVLP_LOW70.csv,70%,Preset_66,MLP,42,57,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11933,1.8574,0.47727,0.43761,"[0.51282, 0.28571, 0.51429]",119,0.12888,1.86311,0.63636,0.56883,"[0.71429, 0.36364, 0.62857]",85,COMPLETED,6.207
48,20260111_181512,gaitset_GREW_LOW70.csv,70%,Preset_66,MLP,42,73,"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.11416,1.37444,0.63636,0.58494,"[0.68182, 0.44444, 0.62857]",105,0.11679,1.42975,0.63636,0.58494,"[0.68182, 0.44444, 0.62857]",104,COMPLETED,5.314
