id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
68,20250824_195928,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00455,0.52273,697,0.49585,0.52461,425,0.0621
69,20250824_195928,gln_phase1.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00492,0.54545,369,0.45526,0.47844,165,0.11455
70,20250824_195928,gln_phase2.csv,gaitgl_GREW_BNNeck.csv,MLP,42,mean,L2,64,2,256,silu,0.5,0.0001,0.0001,False,,1,2,0.00457,0.5,359,0.42358,0.4748,329,0.00592

71,20250824_200145,baseline_CASIAB.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00456,0.52273,468,0.43545,0.54,201,0.16552
72,20250824_200145,baseline_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00475,0.43182,455,0.39816,0.50505,372,0.0177
73,20250824_200145,gaitgl.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00309,0.43182,524,0.31645,0.43154,501,0.00744
74,20250824_200145,gaitgl_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00447,0.45455,486,0.33623,0.40753,176,0.17151
75,20250824_200145,gaitgl_GREW_BNNeck.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.0034,0.29545,480,0.22222,0.32732,219,0.08569
76,20250824_200145,gaitgl_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00388,0.43182,531,0.39886,0.47933,224,0.16809
77,20250824_200145,gaitpart.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00559,0.33333,650,0.24444,0.6,147,0.16366
78,20250824_200145,gaitpart_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00494,0.43182,470,0.36564,0.45584,310,0.07148
79,20250824_200145,gaitpart_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00372,0.5,470,0.38655,0.45752,184,0.18466
80,20250824_200145,gaitset.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00382,0.45455,505,0.43317,0.4832,486,0.00713
81,20250824_200145,gaitset_GREW.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00345,0.54545,448,0.45584,0.4899,323,0.02219
82,20250824_200145,gaitset_OUMVLP.csv,gaitgl_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,tanh,0.4,0.0001,1e-06,False,,2,1,0.00429,0.38636,486,0.29357,0.4008,309,0.03758
