id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
57,20250826_193854,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00454,0.47727,338,0.39952,0.46781,185,0.0411,COMPLETED
58,20250826_193854,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00427,0.5,1135,0.45528,0.49161,832,0.03317,COMPLETED
59,20250826_193854,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00442,0.43182,386,0.33658,0.44378,157,0.16646,COMPLETED
60,20250826_193854,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00456,0.54545,774,0.49234,0.57497,681,0.0074,COMPLETED
61,20250826_193854,gaitset.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00415,0.43182,383,0.3561,0.36177,239,0.0234,COMPLETED
62,20250826_193854,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00407,0.5,379,0.37778,0.40909,265,0.01625,COMPLETED
63,20250826_193854,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00429,0.5,689,0.44755,0.47968,412,0.09173,COMPLETED
64,20250826_193854,gln_phase1.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00462,0.5,368,0.42088,0.52536,135,0.19473,COMPLETED
65,20250826_193854,gln_phase2.csv,gaitgl_GREW_BNNeck.csv,MLP,42,256,"[256, 128]",mean,L2,64,2,256,silu,0.5,Adam,0.0001,0.0001,False,,[1],[2],0.00419,0.5,348,0.42424,0.46275,180,0.05945,COMPLETED

66,20250826_194121,baseline_CASIAB.csv,gaitgl_OUMVLP.csv,MLP,42,256,"[512, 256]",mean,minmax,16,2,512,tanh,0.4,Adam,0.0001,1e-06,False,,[2],[1],0.00294,0.52273,567,0.43434,0.53195,331,0.02646,COMPLETED
