run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
32,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,24,0.5682,420,"[0.7222, 0.3158, 0.6667]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
33,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,33,0.554,598,"[0.6977, 0.381, 0.5833]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
34,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,888,0.4935,772,"[0.65, 0.1818, 0.6486]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
35,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,800,0.6831,551,"[0.7907, 0.5, 0.7586]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
36,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,123,0.5811,515,"[0.7556, 0.2, 0.7879]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
37,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,111,0.4396,849,"[0.6522, 0.3333, 0.3333]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
38,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,425,0.5014,812,"[0.5405, 0.3636, 0.6]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
39,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,672,0.4998,549,"[0.7059, 0.2222, 0.5714]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
40,Transformer,4,Preset_5,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,69,0.6472,1115,"[0.7273, 0.5, 0.7143]",,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
41,Transformer,5,Preset_13,gln_93steps_mean.csv,Gait_Embeddings_Combined/mean/gln_93steps_mean.csv,8,0.5688,446,"[0.7143, 0.3636, 0.6286]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 7e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
42,Transformer,5,Preset_13,gln_93steps_mean.csv,Gait_Embeddings_Combined/mean/gln_93steps_mean.csv,24,0.6613,750,"[0.7234, 0.7273, 0.5333]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 7e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
