id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
33,20251222_225259,GREW_concat.csv,Preset_9,LSTM,42,768,2,"[160, 160]",True,minmax,0.2,[1],[],attention,128,relu,True,False,48,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13715,2.27038,0.45455,0.31102,"[0.58824, 0.0, 0.34483]",210,0.26003,1.92959,0.52273,0.48815,"[0.5, 0.31579, 0.64865]",175,COMPLETED,41.469
34,20251222_225259,GREW_mean.csv,Preset_9,LSTM,42,256,2,"[160, 160]",True,minmax,0.2,[1],[],attention,128,relu,True,False,48,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12888,2.93343,0.31818,0.28239,"[0.4186, 0.2, 0.22857]",585,0.28752,1.88987,0.61364,0.51641,"[0.64706, 0.25, 0.65217]",503,COMPLETED,106.979
35,20251222_225259,OUMVLP_concat.csv,Preset_9,LSTM,42,1024,2,"[160, 160]",True,minmax,0.2,[1],[],attention,128,relu,True,False,48,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1195,1.78106,0.54545,0.41724,"[0.60465, 0.0, 0.64706]",681,0.16583,1.75117,0.59091,0.4963,"[0.62222, 0.2, 0.66667]",662,COMPLETED,138.187
36,20251222_225259,OUMVLP_mean.csv,Preset_9,LSTM,42,256,2,"[160, 160]",True,minmax,0.2,[1],[],attention,128,relu,True,False,48,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13993,2.72952,0.40909,0.37859,"[0.42424, 0.25, 0.46154]",567,0.12836,2.70869,0.47727,0.43507,"[0.53333, 0.23529, 0.53659]",566,COMPLETED,102.917

37,20251222_225259,GREW_concat.csv,Preset_10,LSTM,42,768,1,[192],True,L2,0.0,[],[],mean,128,relu,False,True,48,AdamW,,0.0003,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12608,2.27548,0.43182,0.33403,"[0.46154, 0.0, 0.54054]",104,0.44001,1.37632,0.54545,0.40188,"[0.625, 0.0, 0.58065]",53,COMPLETED,13.42
38,20251222_225259,GREW_mean.csv,Preset_10,LSTM,42,256,1,[192],True,L2,0.0,[],[],mean,128,relu,False,True,48,AdamW,,0.0003,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13469,2.70516,0.40909,0.32194,"[0.41026, 0.0, 0.55556]",138,0.6707,1.37779,0.54545,0.40565,"[0.58537, 0.0, 0.63158]",44,COMPLETED,15.988
39,20251222_225259,OUMVLP_concat.csv,Preset_10,LSTM,42,1024,1,[192],True,L2,0.0,[],[],mean,128,relu,False,True,48,AdamW,,0.0003,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11738,2.13693,0.43182,0.32292,"[0.51163, 0.0, 0.45714]",213,0.48692,1.63085,0.45455,0.42663,"[0.5641, 0.31579, 0.4]",104,COMPLETED,28.409
40,20251222_225259,OUMVLP_mean.csv,Preset_10,LSTM,42,256,1,[192],True,L2,0.0,[],[],mean,128,relu,False,True,48,AdamW,,0.0003,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11162,3.10377,0.36364,0.29942,"[0.48649, 0.0, 0.41176]",393,0.24423,3.62906,0.43182,0.4,"[0.5, 0.2, 0.5]",362,COMPLETED,45.135

41,20251222_225259,GREW_concat.csv,Preset_11,LSTM,42,768,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13048,1.88941,0.47727,0.40877,"[0.5, 0.2, 0.52632]",140,0.6558,1.41102,0.52273,0.52083,"[0.5625, 0.5, 0.5]",77,COMPLETED,9.857
42,20251222_225259,GREW_mean.csv,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13396,1.81127,0.52273,0.49463,"[0.51429, 0.375, 0.59459]",161,0.22397,1.42318,0.59091,0.55305,"[0.63415, 0.4, 0.625]",143,COMPLETED,9.349
43,20251222_225259,OUMVLP_concat.csv,Preset_11,LSTM,42,1024,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12713,2.23167,0.45455,0.3461,"[0.6383, 0.0, 0.4]",356,0.12525,1.85552,0.59091,0.43791,"[0.66667, 0.0, 0.64706]",345,COMPLETED,27.014
