id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
44,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11001,1.94286,0.5,0.36252,"[0.57143, 0.0, 0.51613]",74,0.15624,1.82995,0.59091,0.44558,"[0.69388, 0.0, 0.64286]",45,COMPLETED,9.339
45,20260108_043339,gaitgl_TOP50.csv,50%,Preset_4,LSTM,42,128,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10737,1.96745,0.38636,0.3353,"[0.37838, 0.15385, 0.47368]",18,0.11657,2.22355,0.43182,0.37165,"[0.37838, 0.2, 0.53659]",14,COMPLETED,2.202
46,20260108_043339,gaitpart_GREW_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11176,1.95902,0.47727,0.42407,"[0.57778, 0.25, 0.44444]",115,0.17111,2.37722,0.5,0.49314,"[0.52941, 0.41667, 0.53333]",93,COMPLETED,11.198
47,20260108_043339,gaitpart_OUMVLP_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10896,1.60043,0.47727,0.40357,"[0.61905, 0.125, 0.46667]",266,0.62825,1.16694,0.63636,0.56815,"[0.69565, 0.36364, 0.64516]",70,COMPLETED,25.677
48,20260108_043339,gaitset_GREW_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10993,2.62331,0.38636,0.32881,"[0.51163, 0.11765, 0.35714]",81,0.42868,3.60009,0.47727,0.43565,"[0.45714, 0.28571, 0.5641]",46,COMPLETED,10.134
49,20260108_043339,gaitset_OUMVLP_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11002,2.02344,0.52273,0.41548,"[0.65385, 0.22222, 0.37037]",217,0.51879,1.80086,0.52273,0.49182,"[0.58824, 0.31579, 0.57143]",126,COMPLETED,27.211
50,20260108_043339,gaitset_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11272,2.32932,0.36364,0.2963,"[0.44444, 0.0, 0.44444]",66,0.32982,2.26145,0.45455,0.4125,"[0.55, 0.25, 0.4375]",31,COMPLETED,8.351
51,20260108_043339,gln_phase1_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11295,1.34332,0.56818,0.54167,"[0.625, 0.5, 0.5]",57,0.33494,1.17262,0.65909,0.64957,"[0.66667, 0.61538, 0.66667]",30,COMPLETED,8.055
52,20260108_043339,gln_phase2_TOP50.csv,50%,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10884,1.7259,0.45455,0.41583,"[0.41176, 0.28571, 0.55]",64,0.69994,1.14183,0.56818,0.55637,"[0.54054, 0.5, 0.62857]",18,COMPLETED,8.972

53,20260108_043339,baseline_CASIAB_TOP50.csv,50%,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11584,2.30727,0.45455,0.32313,"[0.61224, 0.0, 0.35714]",124,0.27542,2.76402,0.47727,0.43828,"[0.45714, 0.30769, 0.55]",59,COMPLETED,9.593
54,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11391,2.26252,0.36364,0.3019,"[0.43902, 0.0, 0.46667]",153,0.48252,1.45972,0.56818,0.4211,"[0.6383, 0.0, 0.625]",58,COMPLETED,11.708
55,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11668,2.62115,0.40909,0.37908,"[0.44444, 0.22222, 0.47059]",133,0.51682,2.07622,0.45455,0.4404,"[0.52632, 0.33333, 0.46154]",65,COMPLETED,12.719
56,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10807,1.21744,0.47727,0.4061,"[0.55, 0.18182, 0.48649]",17,0.14369,1.24367,0.59091,0.47364,"[0.69091, 0.25, 0.48]",11,COMPLETED,1.694
57,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1163,1.51117,0.47727,0.35763,"[0.65385, 0.13333, 0.28571]",62,0.15132,1.34044,0.52273,0.44427,"[0.68085, 0.23529, 0.41667]",53,COMPLETED,6.058
58,20260108_043339,gaitgl_TOP50.csv,50%,Preset_5,LSTM,42,128,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11495,1.49407,0.36364,0.27665,"[0.36842, 0.0, 0.46154]",27,0.17552,1.67832,0.5,0.46412,"[0.47059, 0.36364, 0.55814]",16,COMPLETED,2.486
