id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
58,20250916_152815,baseline_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.05394,0.54545,95,0.50268,0.52719,94,0.08335,COMPLETED
59,20250916_152815,gaitgl.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,128,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.04672,0.52273,45,0.47963,0.49671,44,0.07992,COMPLETED
60,20250916_152815,gaitgl_GREW.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.0385,0.54545,44,0.49448,0.49448,44,0.0385,COMPLETED
61,20250916_152815,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.0504,0.43182,62,0.37249,0.40863,59,0.11971,COMPLETED
62,20250916_152815,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.05973,0.5,79,0.46407,0.46795,78,0.07982,COMPLETED
63,20250916_152815,gaitpart.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,128,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.90163,0.5,106,0.22222,0.22222,106,0.90163,STOPPED
64,20250916_152815,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.06016,0.5,92,0.43832,0.44443,90,0.07076,COMPLETED
65,20250916_152815,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.04446,0.54545,147,0.40513,0.40908,145,0.09558,COMPLETED
66,20250916_152815,gaitset.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.06551,0.45455,56,0.30505,0.3583,52,0.1139,COMPLETED
67,20250916_152815,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.06967,0.43182,101,0.26207,0.40678,96,0.14202,COMPLETED
68,20250916_152815,gaitset_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,LSTM,42,256,decreasing,3,"[256, 192, 128]",True,L2,0.4,[2],"[1, 2]",attention,512.0,elu,False,16,Adam,,0.0001,5e-07,0.07876,0.31818,186,0.2482,0.31759,178,0.14397,COMPLETED
