id,embedding,best_f1_hist,best_f1_v3,difference
501,gaitset_GREW.csv,0.35366,0.21538,-0.13828
502,gaitset_OUMVLP.csv,0.55967,0.17778,-0.38189
503,gln_phase1.csv,0.51858,0.17778,-0.3408
504,gln_phase2.csv,0.21538,0.27399,0.05861
575,baseline_CASIAB.csv,0.42331,0.45584,0.03253
576,baseline_OUMVLP.csv,0.49972,0.46566,-0.03406
577,gaitgl.csv,0.38355,0.51138,0.12783
578,gaitgl_GREW.csv,0.51462,0.55039,0.03577
579,gaitgl_GREW_BNNeck.csv,0.48373,0.47945,-0.00428
580,gaitgl_OUMVLP.csv,0.36833,0.41582,0.04749
581,gaitpart.csv,0.22222,0.61905,0.39683
582,gaitpart_GREW.csv,0.43464,0.49314,0.0585
583,gaitpart_OUMVLP.csv,0.35983,0.52698,0.16715
584,gaitset.csv,0.34785,0.39076,0.04291
585,gaitset_GREW.csv,0.41587,0.42399,0.00812
586,gaitset_OUMVLP.csv,0.5047,0.17778,-0.32692
587,gln_phase1.csv,0.60302,0.54587,-0.05715
588,gln_phase2.csv,0.34463,0.4303,0.08567
589,baseline_CASIAB.csv,0.43056,0.54659,0.11603
590,baseline_OUMVLP.csv,0.54167,0.52751,-0.01416
591,gaitgl.csv,0.45742,0.48526,0.02784
592,gaitgl_GREW.csv,0.50232,0.4596,-0.04272
593,gaitgl_GREW_BNNeck.csv,0.49728,0.4458,-0.05148
594,gaitgl_OUMVLP.csv,0.52583,0.50505,-0.02078
595,gaitpart.csv,0.24444,0.45238,0.20794
596,gaitpart_GREW.csv,0.54442,0.55396,0.00954
597,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0
598,gaitset.csv,0.32,0.41713,0.09713
599,gaitset_GREW.csv,0.3282,0.41204,0.08384
600,gaitset_OUMVLP.csv,0.56197,0.17778,-0.38419
601,gln_phase1.csv,0.52991,0.51144,-0.01847
602,gln_phase2.csv,0.51277,0.51198,-0.00079
645,baseline_CASIAB.csv,0.48978,0.47675,-0.01303
646,baseline_OUMVLP.csv,0.56465,0.49708,-0.06757
647,gaitgl.csv,0.41107,0.44869,0.03762
648,gaitgl_GREW.csv,0.4947,0.57895,0.08425
649,gaitgl_GREW_BNNeck.csv,0.31292,0.30283,-0.01009
650,gaitgl_OUMVLP.csv,0.21538,0.40242,0.18704
651,gaitpart.csv,0.26667,0.48889,0.22222
652,gaitpart_GREW.csv,0.49995,0.53153,0.03158
653,gaitpart_OUMVLP.csv,0.38406,0.3816,-0.00246
654,gaitset.csv,0.35892,0.4693,0.11038
655,gaitset_GREW.csv,0.47632,0.48237,0.00605
656,gaitset_OUMVLP.csv,0.21538,0.40902,0.19364
657,gln_phase1.csv,0.25038,0.49722,0.24684
658,gln_phase2.csv,0.49335,0.44637,-0.04698
673,baseline_CASIAB.csv,0.45971,0.43722,-0.02249
674,baseline_OUMVLP.csv,0.47616,0.45397,-0.02219
675,gaitgl.csv,0.47295,0.45762,-0.01533
676,gaitgl_GREW.csv,0.47625,0.45495,-0.0213
677,gaitgl_GREW_BNNeck.csv,0.4579,0.53801,0.08011
678,gaitgl_OUMVLP.csv,0.48682,0.42897,-0.05785
679,gaitpart.csv,0.45238,0.38889,-0.06349
680,gaitpart_GREW.csv,0.55975,0.58455,0.0248
681,gaitpart_OUMVLP.csv,0.54431,0.49349,-0.05082
682,gaitset.csv,0.42033,0.39746,-0.02287
683,gaitset_GREW.csv,0.38759,0.49451,0.10692
684,gaitset_OUMVLP.csv,0.21538,0.53737,0.32199
685,gln_phase1.csv,0.47407,0.42758,-0.04649
686,gln_phase2.csv,0.50712,0.57521,0.06809
701,baseline_CASIAB.csv,0.4943,0.5527,0.0584
702,baseline_OUMVLP.csv,0.45786,0.5,0.04214
703,gaitgl.csv,0.4418,0.56845,0.12665
704,gaitgl_GREW.csv,0.40212,0.47755,0.07543
705,gaitgl_GREW_BNNeck.csv,0.49106,0.57024,0.07918
706,gaitgl_OUMVLP.csv,0.51729,0.4703,-0.04699
707,gaitpart.csv,0.45238,0.45238,0.0
708,gaitpart_GREW.csv,0.54286,0.49777,-0.04509
709,gaitpart_OUMVLP.csv,0.49618,0.5176,0.02142
710,gaitset.csv,0.37649,0.40599,0.0295
711,gaitset_GREW.csv,0.34935,0.40171,0.05236
712,gaitset_OUMVLP.csv,0.45818,0.46131,0.00313
713,gln_phase1.csv,0.5675,0.61622,0.04872
714,gln_phase2.csv,0.38021,0.44848,0.06827
