id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,learning_rate,weight_decay,momentum_sgd,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
54,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0003,5e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1399,1.89789,0.52273,391,0.36508,0.46617,391,0.18714,STOPPED,182.633
55,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,4,"[256, 256, 256, 256]",True,L2,0.2,[],[],last,,,True,64,AdamW,0.0003,5e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14866,2.41187,0.43182,133,0.4022,0.56429,133,0.15908,STOPPED,178.751

56,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[448],False,L2,0.0,[],[],last,64,tanh,True,16,AdamW,0.0001,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14369,2.07549,0.47727,362,0.43829,0.46131,362,0.26688,STOPPED,69.777
57,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[448],False,L2,0.0,[],[],last,64,tanh,True,16,AdamW,0.0001,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.142,2.02092,0.40909,58,0.35715,0.41696,58,0.19667,STOPPED,56.178
58,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[448],False,L2,0.0,[],[],last,64,tanh,True,16,AdamW,0.0001,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.44569,1.14544,0.59091,316,0.54955,0.6066,316,0.14744,STOPPED,68.713
59,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[448],False,L2,0.0,[],[],last,64,tanh,True,16,AdamW,0.0001,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14487,2.07873,0.47727,273,0.40133,0.44091,273,0.14486,STOPPED,96.856
60,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[448],False,L2,0.0,[],[],last,64,tanh,True,16,AdamW,0.0001,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14125,2.47118,0.36364,117,0.31845,0.43757,117,0.30076,STOPPED,107.089

61,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0004,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13962,2.36541,0.43182,439,0.37163,0.46199,439,0.14045,STOPPED,47.523
62,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0004,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13968,2.44584,0.43182,450,0.30472,0.4918,450,0.17335,STOPPED,78.013
63,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0004,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.48448,2.23479,0.38636,811,0.34205,0.42861,811,0.1641,STOPPED,59.653
64,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0004,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.22226,2.12059,0.47727,897,0.36667,0.56907,897,0.1984,STOPPED,150.583
65,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",False,L2,0.1,[],[],mean,,,True,96,AdamW,0.0004,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14064,2.60994,0.36364,245,0.32463,0.40446,245,0.33506,STOPPED,128.779

66,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[256, 128]",True,L2,0.4,[1],[],max,128,elu,True,32,Adam,0.0007,0.0005,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.30199,2.20321,0.47727,380,0.43637,0.55177,380,0.1539,STOPPED,131.952
67,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[256, 128]",True,L2,0.4,[1],[],max,128,elu,True,32,Adam,0.0007,0.0005,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14747,1.30478,0.47727,44,0.44444,0.53457,44,0.23312,STOPPED,72.661
