id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
47,20260111_191136,gaitpart_OUMVLP_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11036,1.80216,0.5,0.36451,"[0.6087, 0.0, 0.48485]",326,0.13256,1.89677,0.52273,0.47243,"[0.5, 0.28571, 0.63158]",292,COMPLETED,53.635
48,20260111_191136,gaitset_GREW_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11732,1.9816,0.45455,0.41858,"[0.52381, 0.30769, 0.42424]",184,0.1527,1.75017,0.54545,0.52544,"[0.58537, 0.46154, 0.52941]",141,COMPLETED,48.753
49,20260111_191136,gaitset_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.11894,2.19029,0.5,0.3573,"[0.62745, 0.0, 0.44444]",151,0.33589,1.82271,0.5,0.48573,"[0.55814, 0.46154, 0.4375]",72,COMPLETED,38.356
50,20260111_191136,gaitset_OUMVLP_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.1107,1.79468,0.59091,0.55039,"[0.65116, 0.4, 0.6]",280,0.18485,1.59766,0.63636,0.58744,"[0.69767, 0.375, 0.68966]",226,COMPLETED,73.043
51,20260111_191136,gln_phase1_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.10917,1.84111,0.52273,0.43859,"[0.6087, 0.22222, 0.48485]",149,0.38832,1.79964,0.56818,0.51354,"[0.61905, 0.33333, 0.58824]",67,COMPLETED,48.269
52,20260111_191136,gln_phase2_LOW70.csv,70%,Preset_25,LSTM,42,256,4,"[64, 160, 384, 896]",False,nan,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,False,64,AdamW,,0.0001,1e-06,0.02,1.0,0.1198,1.4878,0.5,0.49392,"[0.52632, 0.47059, 0.48485]",144,0.1278,1.30067,0.70455,0.68444,"[0.76596, 0.66667, 0.62069]",136,COMPLETED,45.65

53,20260111_191136,baseline_CASIAB_LOW70.csv,70%,Preset_17,LSTM,42,256,1,[960],True,nan,0.0,[],[],last,960,relu,True,True,128,SGD,0.9,0.0008,1e-06,0.02,1.0,0.11843,1.86792,0.52273,0.44156,"[0.57143, 0.18182, 0.57143]",1169,0.12343,1.86564,0.5,0.45333,"[0.55814, 0.28571, 0.51613]",1086,COMPLETED,96.301
54,20260111_191136,baseline_OUMVLP_LOW70.csv,70%,Preset_17,LSTM,42,256,1,[960],True,nan,0.0,[],[],last,960,relu,True,True,128,SGD,0.9,0.0008,1e-06,0.02,1.0,0.11999,1.67838,0.38636,0.34583,"[0.5, 0.1, 0.4375]",1125,0.74896,1.13408,0.52273,0.49378,"[0.54054, 0.31579, 0.625]",204,COMPLETED,92.539
55,20260111_191136,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_17,LSTM,42,256,1,[960],True,nan,0.0,[],[],last,960,relu,True,True,128,SGD,0.9,0.0008,1e-06,0.02,1.0,0.11844,1.79944,0.36364,0.31527,"[0.43902, 0.15385, 0.35294]",3150,0.31255,1.47021,0.43182,0.44756,"[0.41026, 0.5, 0.43243]",1208,COMPLETED,392.959
