number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
28,0.40352522970278903,COMPLETE,2025-11-26 00:06:07.516338,2025-11-26 00:06:27.600557,0 days 00:00:20.084219,"[896, 896, 896, 896]","[0, 1, 2]","[0, 1]",elu,896,48,0.2,0.0002,L2,4,uniform,,mean,False,1e-05
29,0.21238938053097345,PRUNED,2025-11-26 00:06:27.603925,2025-11-26 00:06:39.017056,0 days 00:00:11.413131,"[384, 384, 384, 384, 384]","[0, 1, 2]","[0, 1]",elu,384,64,0.2,5e-05,L2,5,uniform,,mean,False,1e-05
30,0.21839080459770113,PRUNED,2025-11-26 00:06:39.017660,2025-11-26 00:06:43.903445,0 days 00:00:04.885785,"[80, 160, 320, 640]","[0, 2]",[0],leakyrelu,640,64,0.2,0.0002,L2,4,increasing,,mean,False,1e-05
31,0.21839080459770113,PRUNED,2025-11-26 00:06:43.904447,2025-11-26 00:06:45.591020,0 days 00:00:01.686573,"[640, 640]",[0],[0],elu,640,96,0.2,0.0002,L2,2,uniform,,mean,False,1e-05
32,0.3609479243945707,COMPLETE,2025-11-26 00:06:45.592023,2025-11-26 00:06:59.874835,0 days 00:00:14.282812,"[640, 640]",[0],[],leakyrelu,640,96,,0.0001,L2,2,uniform,,mean,False,1e-07
33,0.23736263736263738,PRUNED,2025-11-26 00:06:59.877082,2025-11-26 00:07:00.843088,0 days 00:00:00.966006,"[512, 512]",[0],[0],gelu,512,96,0.5,0.0002,L2,2,uniform,,mean,False,1e-05
34,0.08333333333333333,PRUNED,2025-11-26 00:07:00.843088,2025-11-26 00:07:07.178308,0 days 00:00:06.335220,"[1024, 1024, 1024]","[0, 1]",[1],tanh,1024,96,0.1,0.001,L2,3,uniform,,mean,False,1e-07
35,0.3006535947712418,PRUNED,2025-11-26 00:07:07.179311,2025-11-26 00:07:11.607641,0 days 00:00:04.428330,[640],[],[],elu,640,16,,1e-05,L2,1,increasing,,mean,False,1e-07
36,0.21839080459770113,PRUNED,2025-11-26 00:07:11.607641,2025-11-26 00:07:13.193904,0 days 00:00:01.586263,[128],[],[],silu,128,32,,5e-05,L2,1,uniform,,mean,False,0.0001
37,0.21238938053097345,PRUNED,2025-11-26 00:07:13.194907,2025-11-26 00:07:14.927637,0 days 00:00:01.732730,"[1024, 1024, 1024, 1024]","[0, 1]","[0, 1, 2]",leakyrelu,1024,64,0.4,2e-05,L2,4,uniform,,mean,False,1e-05
38,0.27375201288244766,PRUNED,2025-11-26 00:07:14.927637,2025-11-26 00:07:15.996843,0 days 00:00:01.069206,"[160, 320, 640]","[0, 1]",[1],gelu,640,96,0.3,0.001,L2,3,increasing,,mean,False,1e-06
39,0.21839080459770113,PRUNED,2025-11-26 00:07:15.997846,2025-11-26 00:07:16.961840,0 days 00:00:00.963994,"[256, 256]",[],[0],silu,256,96,0.2,0.0001,minmax,2,uniform,0.5,max,True,1e-07
40,0.24305555555555558,PRUNED,2025-11-26 00:07:16.962844,2025-11-26 00:07:19.068055,0 days 00:00:02.105211,[512],[],[],elu,512,48,,0.0002,L2,1,uniform,0.9,mean,True,0.0001
41,0.21839080459770113,PRUNED,2025-11-26 00:07:19.069058,2025-11-26 00:07:22.608238,0 days 00:00:03.539180,"[896, 896, 896, 896]","[0, 1, 2]","[0, 1]",elu,896,48,0.2,0.0002,L2,4,uniform,,mean,False,1e-05
42,0.21839080459770113,PRUNED,2025-11-26 00:07:22.608238,2025-11-26 00:07:27.165022,0 days 00:00:04.556784,"[896, 896, 896, 896, 896]","[0, 1, 2, 3]","[0, 1, 3]",elu,896,48,0.2,0.0002,L2,5,uniform,,mean,False,1e-05
43,0.23750000000000002,PRUNED,2025-11-26 00:07:27.166025,2025-11-26 00:07:29.103725,0 days 00:00:01.937700,"[896, 896, 896, 896]","[0, 1, 2]","[0, 1]",elu,896,48,0.2,0.0002,L2,4,uniform,,mean,False,1e-05
44,0.39851156600430604,COMPLETE,2025-11-26 00:07:29.103725,2025-11-26 00:07:55.959385,0 days 00:00:26.855660,"[896, 896, 896, 896, 896]","[0, 1, 2, 3]","[0, 1, 3]",tanh,896,48,0.3,2e-05,L2,5,uniform,,mean,False,1e-05
45,0.22476618032173587,PRUNED,2025-11-26 00:07:55.959385,2025-11-26 00:08:14.982975,0 days 00:00:19.023590,"[384, 192, 96, 64]",[2],"[0, 1]",elu,384,16,0.2,0.0002,L2,4,decreasing,,max,False,0.0
46,0.21839080459770113,PRUNED,2025-11-26 00:08:14.982975,2025-11-26 00:08:16.783272,0 days 00:00:01.800297,"[224, 448, 896]","[0, 1]","[0, 1]",silu,896,128,0.1,0.001,minmax,3,increasing,0.7,max,True,1e-05
47,0.2762033288349078,PRUNED,2025-11-26 00:08:16.783272,2025-11-26 00:08:22.701844,0 days 00:00:05.918572,"[768, 768, 768, 768, 768, 768]",[2],"[1, 4]",silu,768,32,0.2,5e-05,L2,6,uniform,,mean,False,1e-07
48,0.4106131649270134,COMPLETE,2025-11-26 00:08:22.701844,2025-11-26 00:08:44.733115,0 days 00:00:22.031271,"[640, 640, 640, 640, 640]","[0, 1, 2, 3]","[0, 3]",elu,640,48,0.4,0.0005,L2,5,uniform,0.6,max,True,1e-07
49,0.18238993710691823,PRUNED,2025-11-26 00:08:44.735239,2025-11-26 00:08:51.482839,0 days 00:00:06.747600,"[640, 320, 160, 80, 64]","[1, 3]","[2, 3]",relu,640,96,0.4,1e-05,minmax,5,decreasing,0.6,max,True,1e-07
