number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
31,0.19487179487179487,PRUNED,2025-11-26 01:00:28.828289,2025-11-26 01:00:34.813567,0 days 00:00:05.985278,"[64, 96, 192, 384]","[0, 1]",[2],leakyrelu,384,32,0.1,0.0002,L2,4,increasing,0.7,max,True,1e-06
32,0.3433539640436192,PRUNED,2025-11-26 01:00:34.814572,2025-11-26 01:00:37.575907,0 days 00:00:02.761335,"[64, 64, 96, 192, 384]","[0, 1]",[2],relu,384,32,0.1,0.0002,L2,5,increasing,0.7,max,True,1e-06
33,0.21839080459770113,PRUNED,2025-11-26 01:00:37.576765,2025-11-26 01:00:42.307912,0 days 00:00:04.731147,"[64, 128, 256, 512]","[0, 1]",[2],leakyrelu,512,32,0.1,0.0002,L2,4,increasing,0.7,max,True,0.0001
34,0.21839080459770113,PRUNED,2025-11-26 01:00:42.308996,2025-11-26 01:00:46.094923,0 days 00:00:03.785927,"[256, 512, 1024]","[0, 1]",[],elu,1024,32,,5e-05,minmax,3,increasing,0.7,max,True,0.0
35,0.21839080459770113,PRUNED,2025-11-26 01:00:46.094923,2025-11-26 01:00:47.174773,0 days 00:00:01.079850,"[768, 384, 192, 96]",[1],"[0, 2]",silu,768,128,0.1,2e-05,L2,4,decreasing,,max,False,1e-06
36,0.3055555555555556,PRUNED,2025-11-26 01:00:47.175352,2025-11-26 01:00:49.934784,0 days 00:00:02.759432,"[64, 64, 64, 64, 128]","[0, 1]",[2],leakyrelu,128,32,0.4,0.0002,L2,5,increasing,0.5,max,True,1e-06
37,0.48380716708416066,COMPLETE,2025-11-26 01:00:49.935788,2025-11-26 01:01:08.135899,0 days 00:00:18.200111,"[160, 320, 640]",[1],"[0, 1]",tanh,640,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
38,0.47290418932146727,COMPLETE,2025-11-26 01:01:08.138833,2025-11-26 01:01:21.216867,0 days 00:00:13.078034,"[160, 320, 640]",[1],"[0, 1]",tanh,640,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
39,0.21839080459770113,PRUNED,2025-11-26 01:01:21.219062,2025-11-26 01:01:23.180705,0 days 00:00:01.961643,"[640, 320]",[],[0],tanh,640,96,0.4,0.0005,minmax,2,decreasing,,mean,False,0.0
40,0.21839080459770113,PRUNED,2025-11-26 01:01:23.181711,2025-11-26 01:01:25.298127,0 days 00:00:02.116416,"[160, 320, 640]",[],"[0, 1]",tanh,640,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
41,0.18238993710691823,PRUNED,2025-11-26 01:01:25.298715,2025-11-26 01:01:33.827303,0 days 00:00:08.528588,"[160, 320, 640]",[1],"[0, 1]",tanh,640,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
42,0.21637426900584797,PRUNED,2025-11-26 01:01:33.828773,2025-11-26 01:01:42.167386,0 days 00:00:08.338613,"[160, 320, 640]",[1],"[0, 1]",tanh,640,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
43,0.21839080459770113,PRUNED,2025-11-26 01:01:42.168389,2025-11-26 01:01:43.982752,0 days 00:00:01.814363,"[320, 640]",[],[0],tanh,640,96,0.4,0.0005,minmax,2,increasing,,mean,False,0.0
44,0.21839080459770113,PRUNED,2025-11-26 01:01:43.983925,2025-11-26 01:01:46.545867,0 days 00:00:02.561942,"[128, 256, 512]",[1],"[0, 1]",tanh,512,96,0.4,0.0005,minmax,3,increasing,,mean,False,0.0
45,0.21839080459770113,PRUNED,2025-11-26 01:01:46.545867,2025-11-26 01:01:47.599612,0 days 00:00:01.053745,"[256, 512, 1024]",[],"[0, 1]",silu,1024,128,0.2,2e-05,minmax,3,increasing,,mean,False,1e-07
46,0.21839080459770113,PRUNED,2025-11-26 01:01:47.600617,2025-11-26 01:01:49.399336,0 days 00:00:01.798719,"[896, 896]",[],[0],gelu,896,96,0.5,0.0005,minmax,2,uniform,,mean,False,0.0
47,0.21456310679611648,PRUNED,2025-11-26 01:01:49.400419,2025-11-26 01:02:00.469578,0 days 00:00:11.069159,"[80, 160, 320, 640]","[1, 2]","[0, 1]",relu,640,64,0.4,0.001,minmax,4,increasing,,mean,False,0.0001
48,0.21637426900584797,PRUNED,2025-11-26 01:02:00.472004,2025-11-26 01:02:31.505502,0 days 00:00:31.033498,"[256, 128, 64]",[1],"[0, 1]",tanh,256,16,0.3,0.0005,minmax,3,decreasing,,mean,False,1e-05
49,0.21839080459770113,PRUNED,2025-11-26 01:02:31.506504,2025-11-26 01:02:32.974620,0 days 00:00:01.468116,"[64, 128]",[],[0],elu,128,48,0.4,1e-05,minmax,2,increasing,,mean,False,0.0
