number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
23,0.17702448210922786,2025-09-11 20:12:15.035955,2025-09-11 20:12:17.311494,0 days 00:00:02.275539,gelu,decreasing,16,False,0.5,,,,,1024.0,1.0,0.001,,L2,,,,,True,1,Adam,mean,,1e-05,0.17702448210922786,,,,,PRUNED
24,0.178030303030303,2025-09-11 20:12:17.312494,2025-09-11 20:12:39.167585,0 days 00:00:21.855091,gelu,decreasing,16,False,0.5,False,,,,1024.0,2.0,0.001,,L2,False,,,,True,2,Adam,mean,,1e-05,0.21761658031088082,0.21761658031088082,0.35337995337995337,0.178030303030303,,PRUNED
25,0.21875,2025-09-11 20:12:39.168586,2025-09-11 20:12:44.724777,0 days 00:00:05.556191,gelu,uniform,32,False,0.5,,,,,1024.0,,2e-05,,L2,,,,,True,1,Adam,mean,3.0,0.0,0.21761658031088082,0.21875,,,,PRUNED
26,0.2743917159011499,2025-09-11 20:12:44.725777,2025-09-11 20:13:00.017157,0 days 00:00:15.291380,gelu,decreasing,16,False,0.4,False,,,,1024.0,4.0,0.001,,L2,True,,,,False,2,RMSprop,mean,,1e-05,0.21761658031088082,0.21761658031088082,0.2743917159011499,,,PRUNED
27,0.21875,2025-09-11 20:13:00.018158,2025-09-11 20:13:17.934125,0 days 00:00:17.915967,,decreasing,16,False,0.5,False,,,,,7.0,0.001,,L2,False,,,,True,2,AdamW,mean,,1e-05,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
28,0.2548679390784654,2025-09-11 20:13:17.935126,2025-09-11 20:13:24.663397,0 days 00:00:06.728271,gelu,increasing,16,False,0.2,,,,,1024.0,0.0,2e-05,,L2,,,,,True,1,Adam,last,,0.0,0.21761658031088082,0.2548679390784654,,,,PRUNED
29,0.08558558558558559,2025-09-11 20:13:24.664397,2025-09-11 20:13:34.717755,0 days 00:00:10.053358,tanh,uniform,96,False,0.1,True,,,,64.0,,0.0001,0.5,L2,True,,,,False,2,SGD,max,7.0,1e-05,0.21761658031088082,0.21761658031088082,0.08558558558558559,,,PRUNED
30,0.14161220043572986,2025-09-11 20:13:34.718756,2025-09-11 20:13:41.126438,0 days 00:00:06.407682,elu,decreasing,32,False,0.30000000000000004,,,,,128.0,2.0,0.001,,L2,,,,,True,1,RMSprop,last,,1e-07,0.14161220043572986,,,,,PRUNED
31,0.178030303030303,2025-09-11 20:13:41.127438,2025-09-11 20:14:02.536244,0 days 00:00:21.408806,relu,decreasing,16,True,0.4,False,False,,,512.0,4.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
32,0.21875,2025-09-11 20:14:02.537243,2025-09-11 20:14:31.310430,0 days 00:00:28.773187,relu,decreasing,16,True,0.4,False,False,True,,768.0,5.0,0.0002,,minmax,False,False,True,,True,4,Adam,mean,,1e-06,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
33,0.178030303030303,2025-09-11 20:14:31.312431,2025-09-11 20:14:37.477455,0 days 00:00:06.165024,leakyrelu,decreasing,96,False,0.4,False,True,,,256.0,3.0,1e-05,,minmax,False,True,,,True,3,Adam,mean,,5e-07,0.21761658031088082,0.178030303030303,,,,PRUNED
34,0.21759048895761182,2025-09-11 20:14:37.478456,2025-09-11 20:14:57.717114,0 days 00:00:20.238658,relu,decreasing,128,True,0.5,False,False,,,64.0,3.0,5e-05,,minmax,False,False,,,True,3,Adam,mean,,2e-06,0.21875,0.21640488656195464,,,,COMPLETE
35,0.08558558558558559,2025-09-11 20:14:57.719113,2025-09-11 20:15:09.108870,0 days 00:00:11.389757,,increasing,16,False,0.0,False,,,,,1.0,2e-05,,L2,False,,,,True,2,Adam,mean,,0.0,0.08558558558558559,,,,,PRUNED
36,0.21875,2025-09-11 20:15:09.110870,2025-09-11 20:15:29.120058,0 days 00:00:20.009188,silu,uniform,16,True,0.4,False,False,,,128.0,,0.0001,,minmax,False,False,,,True,3,AdamW,last,2.0,2e-07,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
37,0.21875,2025-09-11 20:15:29.121058,2025-09-11 20:15:34.788015,0 days 00:00:05.666957,gelu,decreasing,64,False,0.30000000000000004,False,,,,768.0,2.0,0.001,0.0,L2,True,,,,True,2,SGD,mean,,1e-06,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
38,0.21761658031088082,2025-09-11 20:15:34.789015,2025-09-11 20:15:39.742131,0 days 00:00:04.953116,tanh,increasing,128,True,0.5,,,,,512.0,1.0,0.002,,L2,,,,,False,1,Adam,mean,,5e-07,0.21761658031088082,0.21761658031088082,0.21761658031088082,,,PRUNED
39,0.21875,2025-09-11 20:15:39.743130,2025-09-11 20:15:53.008092,0 days 00:00:13.264962,gelu,uniform,16,False,0.1,False,,,,1024.0,,0.01,,minmax,False,,,,True,2,AdamW,max,5.0,1e-05,0.21761658031088082,0.21875,,,,PRUNED
40,0.178030303030303,2025-09-11 20:15:53.009092,2025-09-11 20:16:01.441112,0 days 00:00:08.432020,,decreasing,16,True,0.5,,,,,,0.0,0.0002,0.6000000000000001,L2,,,,,True,1,SGD,mean,,2e-07,0.21761658031088082,0.178030303030303,,,,PRUNED
41,0.17702448210922786,2025-09-11 20:16:01.442112,2025-09-11 20:16:40.455960,0 days 00:00:39.013848,gelu,increasing,128,True,0.2,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.2607000593270616,0.17702448210922786,,,,PRUNED
42,0.178030303030303,2025-09-11 20:16:40.456961,2025-09-11 20:18:02.169544,0 days 00:01:21.712583,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
43,0.17702448210922786,2025-09-11 20:18:02.170544,2025-09-11 20:18:15.543390,0 days 00:00:13.372846,gelu,increasing,128,True,0.1,False,False,True,,128.0,8.0,1e-05,,minmax,True,False,False,,True,4,AdamW,last,,1e-06,0.17702448210922786,,,,,PRUNED
44,0.21640488656195464,2025-09-11 20:18:15.544390,2025-09-11 20:19:41.849034,0 days 00:01:26.304644,leakyrelu,increasing,64,True,0.2,False,False,False,,128.0,6.0,2e-05,,minmax,True,False,False,,True,4,AdamW,last,,1e-06,0.21761658031088082,0.21761658031088082,0.21875,0.21875,0.21640488656195464,PRUNED
45,0.08558558558558559,2025-09-11 20:19:41.850035,2025-09-11 20:20:44.870399,0 days 00:01:03.020364,silu,increasing,128,True,0.0,True,False,,,512.0,9.0,0.001,,minmax,True,False,,,False,3,RMSprop,max,,5e-07,0.21761658031088082,0.21761658031088082,0.08558558558558559,,,PRUNED
46,0.21640488656195464,2025-09-11 20:20:44.871399,2025-09-11 20:23:08.682072,0 days 00:02:23.810673,relu,uniform,16,False,0.30000000000000004,False,True,True,True,768.0,,1e-05,,minmax,True,True,False,True,True,5,Adam,last,9.0,1e-05,0.21761658031088082,0.21761658031088082,0.21875,0.21875,0.21640488656195464,PRUNED
47,0.178030303030303,2025-09-11 20:23:08.683072,2025-09-11 20:24:17.625973,0 days 00:01:08.942901,gelu,decreasing,96,True,0.5,True,False,,,64.0,11.0,5e-05,,L2,False,False,,,True,3,RMSprop,max,,2e-06,0.21761658031088082,0.178030303030303,,,,PRUNED
48,0.21759048895761182,2025-09-11 20:24:17.626973,2025-09-11 20:25:08.897579,0 days 00:00:51.270606,elu,uniform,16,False,0.4,False,False,True,,256.0,,2e-05,,L2,True,False,False,,True,4,Adam,mean,2.0,0.0,0.21875,0.21640488656195464,,,,COMPLETE
49,0.178030303030303,2025-09-11 20:25:08.898579,2025-09-11 20:26:09.591248,0 days 00:01:00.692669,relu,decreasing,32,True,0.30000000000000004,False,,,,1024.0,9.0,0.01,,minmax,False,,,,True,2,AdamW,max,,5e-07,0.178030303030303,0.178030303030303,0.178030303030303,,,PRUNED
