number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
40,0.21640488656195464,2025-09-12 12:55:42.267223,2025-09-12 12:59:28.293097,0 days 00:03:46.025874,elu,increasing,96,True,0.2,False,False,,,64.0,7.0,0.0001,,minmax,True,False,,,False,3,AdamW,mean,,1e-06,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,PRUNED
41,0.4506638574629149,2025-09-12 12:59:28.294098,2025-09-12 13:05:58.953517,0 days 00:06:30.659419,elu,decreasing,96,True,0.30000000000000004,False,,,,768.0,9.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,5e-07,0.21761658031088082,0.4728641138036556,0.21875,0.41547964691439815,,COMPLETE
42,0.21759048895761182,2025-09-12 13:05:58.955518,2025-09-12 13:09:59.843279,0 days 00:04:00.887761,elu,decreasing,96,True,0.4,False,False,,,64.0,8.0,1e-05,,minmax,True,False,,,False,3,AdamW,last,,5e-07,0.21875,0.21640488656195464,,,,COMPLETE
43,0.21759048895761182,2025-09-12 13:09:59.845279,2025-09-12 13:15:11.776519,0 days 00:05:11.931240,elu,decreasing,128,True,0.30000000000000004,False,False,True,,64.0,9.0,0.0002,0.5,minmax,True,False,True,,False,4,SGD,last,,5e-07,0.21875,0.3333333333333333,,,,COMPLETE
44,0.46071567915127637,2025-09-12 13:15:11.779520,2025-09-12 13:18:26.043906,0 days 00:03:14.264386,gelu,decreasing,96,True,0.4,False,,,,64.0,7.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,2e-07,0.33716475095785436,0.39115646258503406,0.21875,0.3182877111240536,,COMPLETE
45,0.485475699367967,2025-09-12 13:18:26.045906,2025-09-12 13:21:35.737601,0 days 00:03:09.691695,gelu,decreasing,96,True,0.30000000000000004,False,,,,64.0,7.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,0.0,0.4374723145071983,0.21875,0.39999999999999997,,,COMPLETE
46,0.21875,2025-09-12 13:21:35.739602,2025-09-12 13:22:21.656937,0 days 00:00:45.917335,gelu,decreasing,96,True,0.2,False,,,,64.0,8.0,0.0001,,minmax,True,,,,False,2,AdamW,mean,,0.0,0.21875,,,,,PRUNED
47,0.46207837232068855,2025-09-12 13:22:21.657937,2025-09-12 13:25:51.473161,0 days 00:03:29.815224,gelu,increasing,96,True,0.30000000000000004,False,,,,128.0,7.0,0.0001,,minmax,True,,,,False,2,AdamW,last,,0.0,0.4647388059701492,0.21875,0.36428143353709697,,,COMPLETE
48,0.178030303030303,2025-09-12 13:25:51.475162,2025-09-12 13:26:35.058971,0 days 00:00:43.583809,gelu,increasing,96,True,0.2,False,,,,128.0,7.0,2e-05,,minmax,False,,,,False,2,AdamW,last,,0.0,0.178030303030303,,,,,PRUNED
49,0.178030303030303,2025-09-12 13:26:35.059972,2025-09-12 13:27:18.465742,0 days 00:00:43.405770,gelu,increasing,96,True,0.30000000000000004,False,,,,128.0,7.0,0.002,,minmax,True,,,,False,2,AdamW,last,,0.0,0.178030303030303,,,,,PRUNED
